# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376846552302	-2	0	0
1785376846556299	-1	0	0
1785376846560298	-1	0	0
1785376846563298	-1	0	0
1785376846565297	-1	0	0
1785376846568297	-1	0	0
1785376846570298	-1	0	0
1785376846573297	-1	0	0
1785376846575300	-1	0	0
1785376846577297	-1	0	0
1785376846579298	-1	-1	0
1785376846581298	-1	0	0
1785376846583297	-1	0	0
1785376846585297	-1	0	0
1785376846587298	-1	0	0
1785376846589297	-1	0	0
1785376846591298	-1	0	0
1785376846593298	-1	0	0
1785376846594297	-1	0	0
1785376846596297	-1	0	0
1785376846598299	-1	0	0
1785376846599297	-1	0	0
1785376846601298	-1	0	0
1785376846603299	-1	0	0
1785376846604297	-1	0	0
1785376846605297	0	-1	0
1785376846606297	-1	0	0
1785376846607297	-1	0	0
1785376846608297	-1	0	0
1785376846610297	-1	0	0
1785376846611297	-2	0	0
1785376846612297	-1	0	0
1785376846614299	-1	0	0
1785376846615297	-1	0	0
1785376846616298	-1	-1	0
1785376846617297	-1	0	0
1785376846618297	-1	0	0
1785376846619298	-1	0	0
1785376846620298	-1	0	0
1785376846622298	-1	-1	0
1785376846623297	-1	0	0
1785376846624297	-1	0	0
1785376846625297	-1	0	0
1785376846626298	-1	0	0
1785376846627298	-2	-1	0
1785376846628298	-1	0	0
1785376846629298	-1	0	0
1785376846630297	-1	0	0
1785376846631299	-1	-1	0
1785376846632297	-1	0	0
1785376846633297	-1	0	0
1785376846634297	-2	0	0
1785376846635297	-1	-1	0
1785376846636299	-1	0	0
1785376846637298	-1	0	0
1785376846638298	-2	-1	0
1785376846639297	-2	0	0
1785376846640297	-1	0	0
1785376846641298	-1	-1	0
1785376846642297	-2	0	0
1785376846643299	-1	-1	0
1785376846644297	-1	0	0
1785376846645299	-2	0	0
1785376846646297	-1	-1	0
1785376846647297	-2	0	0
1785376846648299	-1	-1	0
1785376846649298	-2	0	0
1785376846650298	-1	-1	0
1785376846651297	-1	0	0
1785376846652298	-2	0	0
1785376846653298	-1	-1	0
1785376846654298	-2	0	0
1785376846655298	-1	-2	0
1785376846656297	-2	0	0
1785376846657298	-1	-1	0
1785376846658298	-2	0	0
1785376846659299	-2	-1	0
1785376846660298	-3	0	0
1785376846661298	-1	-1	0
1785376846662298	-2	0	0
1785376846663298	-1	-1	0
1785376846664298	-2	0	0
1785376846665298	-1	-1	0
1785376846666298	-2	0	0
1785376846667299	-2	-1	0
1785376846668298	-1	-1	0
1785376846669298	-2	0	0
1785376846670298	-2	-1	0
1785376846671298	-1	0	0
1785376846672298	-2	-1	0
1785376846673298	-1	0	0
1785376846674298	-2	-1	0
1785376846675298	-2	0	0
1785376846676298	-1	-1	0
1785376846677298	-2	0	0
1785376846678298	-2	-1	0
1785376846679298	-2	0	0
1785376846680298	-1	-1	0
1785376846681298	-2	0	0
1785376846682299	-1	-1	0
1785376846683298	-2	0	0
1785376846684298	-1	-1	0
1785376846685298	-2	0	0
1785376846686298	-1	-1	0
1785376846687298	-2	0	0
1785376846688299	-1	-1	0
1785376846689298	-1	0	0
1785376846690298	-2	0	0
1785376846691299	-1	-1	0
1785376846692298	-2	-1	0
1785376846693298	-1	0	0
1785376846694299	-1	-1	0
1785376846695298	-2	0	0
1785376846696298	-1	-1	0
1785376846697299	-1	0	0
1785376846698299	-3	-1	0
1785376846699299	-1	0	0
1785376846700298	-1	-1	0
1785376846701298	-1	0	0
1785376846702299	-2	-1	0
1785376846703299	-1	0	0
1785376846704298	-1	-1	0
1785376846705298	-1	0	0
1785376846706299	-1	-1	0
1785376846707298	-1	0	0
1785376846708299	-1	-1	0
1785376846709299	-1	-1	0
1785376846710298	-1	0	0
1785376846711299	-1	-1	0
1785376846712299	-1	0	0
1785376846713299	-1	-2	0
1785376846714300	-1	0	0
1785376846715300	-1	-1	0
1785376846716298	-1	0	0
1785376846717300	-1	-1	0
1785376846718298	-1	-1	0
1785376846720300	-1	-1	0
1785376846721298	-1	0	0
1785376846722299	-1	-1	0
1785376846723299	-1	-1	0
1785376846725300	-1	-1	0
1785376846726301	-1	0	0
1785376846727300	-1	-1	0
1785376846728298	0	-1	0
1785376846729298	-1	0	0
1785376846730299	0	-1	0
1785376846731298	-2	0	0
1785376846732299	-1	-1	0
1785376846733298	0	-1	0
1785376846734298	-1	0	0
1785376846735299	-1	-1	0
1785376846736299	0	-1	0
1785376846737298	-1	0	0
1785376846738299	-1	-1	0
1785376846739299	0	-1	0
1785376846740298	-1	0	0
1785376846741299	0	-1	0
1785376846742298	-1	0	0
1785376846743299	0	-1	0
1785376846744299	-1	-1	0
1785376846745298	0	-1	0
1785376846746299	-1	0	0
1785376846747299	0	-1	0
1785376846748300	-1	-1	0
1785376846750299	-1	-1	0
1785376846752300	-1	-1	0
1785376846753300	0	-1	0
1785376846754299	-1	0	0
1785376846755299	0	-1	0
1785376846756299	-1	-1	0
1785376846758300	-1	-1	0
1785376846759299	0	-2	0
1785376846760299	-1	0	0
1785376846761298	0	-1	0
1785376846763300	-1	-1	0
1785376846765301	-1	-1	0
1785376846766301	0	-1	0
1785376846768300	-1	-1	0
1785376846770301	0	-1	0
1785376846771299	-1	0	0
1785376846772299	0	-1	0
1785376846774300	-1	-1	0
1785376846775301	0	-1	0
1785376846777299	-1	-1	0
1785376846779299	-1	0	0
1785376846780299	0	-1	0
1785376846781299	0	-1	0
1785376846783299	-1	0	0
1785376846784299	0	-1	0
1785376846786300	-1	-1	0
1785376846788299	0	-1	0
1785376846791301	-1	-1	0
1785376846793300	0	-1	0
1785376846796300	-1	-1	0
1785376846799300	0	-1	0
1785376846801300	-1	0	0
1785376846802299	0	-1	0
1785376846805299	0	-1	0
1785376846808300	-2	0	0
1785376846809300	0	-1	0
1785376846813300	0	-1	0
1785376846816300	-1	0	0
1785376846818300	0	-1	0
1785376846823300	0	-1	0
1785376846824300	-1	0	0
1785376846829300	0	-1	0
1785376846833301	-1	0	0
1785376846836302	0	-1	0
1785376846841300	0	-1	0
1785376846844300	-1	0	0
1785376846849301	0	-2	0
1785376846854300	0	-1	0
1785376846856300	-1	0	0
1785376846861300	0	-1	0
1785376846868300	0	-1	0
1785376846871301	-1	0	0
1785376846876300	0	-1	0
1785376846890301	0	-1	0
1785376846906301	0	-1	0
1785376846921303	0	-1	0
1785376846934302	0	-1	0
1785376846941301	1	0	0
1785376846948302	0	-1	0
1785376846959302	1	0	0
1785376846962301	0	-1	0
1785376846971302	0	-1	0
1785376846977301	1	0	0
1785376846979302	0	-1	0
1785376846985302	0	-1	0
1785376846986301	1	0	0
1785376846990301	0	-1	0
1785376846995302	1	-1	0
1785376846999302	0	-1	0
1785376847003303	2	0	0
1785376847004302	0	-1	0
1785376847009302	0	-1	0
1785376847010301	1	0	0
1785376847013303	0	-1	0
1785376847017303	1	-1	0
1785376847021302	0	-1	0
1785376847022301	1	0	0
1785376847024302	0	-1	0
1785376847027302	1	0	0
1785376847028302	0	-1	0
1785376847031304	1	0	0
1785376847032302	0	-1	0
1785376847035302	0	-1	0
1785376847036303	1	0	0
1785376847039305	0	-1	0
1785376847040302	1	0	0
1785376847043303	0	-1	0
1785376847044301	1	0	0
1785376847047304	0	-1	0
1785376847049302	1	0	0
1785376847052303	0	-1	0
1785376847054303	1	0	0
1785376847057302	0	-2	0
1785376847062303	1	0	0
1785376847063302	0	-1	0
1785376847073302	0	-1	0
1785376847076303	1	0	0
1785376847495309	0	1	0
1785376847496307	1	0	0
1785376847500307	0	2	0
1785376847505307	0	1	0
1785376847509308	0	1	0
1785376847513308	0	1	0
1785376847514309	1	0	0
1785376847517307	0	1	0
1785376847521307	0	1	0
1785376847525308	0	1	0
1785376847530307	0	1	0
1785376847534307	1	1	0
1785376847540309	0	1	0
1785376847548308	0	1	0
1785376847651312	0	1	0
1785376847675312	0	1	0
1785376847806315	0	0	1
1785376847919316	0	0	0
1785376848043319	1	0	0
1785376848050316	1	0	0
1785376848054315	1	0	0
1785376848056313	1	0	0
1785376848059313	1	0	0
1785376848061313	1	0	0
1785376848063313	1	0	0
1785376848064315	1	0	0
1785376848066312	1	0	0
1785376848067312	1	0	0
1785376848069313	1	0	0
1785376848070313	1	0	0
1785376848072314	1	0	0
1785376848073312	2	0	0
1785376848074312	1	0	0
1785376848075314	1	0	0
1785376848076313	1	0	0
1785376848078313	2	0	0
1785376848079313	1	0	0
1785376848080312	1	0	0
1785376848081313	1	0	0
1785376848082312	1	0	0
1785376848083313	1	0	0
1785376848084312	1	0	0
1785376848085312	1	0	0
1785376848086314	1	0	0
1785376848087314	2	0	0
1785376848088313	1	0	0
1785376848089313	2	0	0
1785376848090312	1	0	0
1785376848091313	1	0	0
1785376848092314	2	0	0
1785376848093313	1	0	0
1785376848094313	2	0	0
1785376848095312	1	0	0
1785376848096313	1	0	0
1785376848097313	2	0	0
1785376848098313	3	0	0
1785376848099312	1	0	0
1785376848100313	2	0	0
1785376848101312	2	0	0
1785376848102313	1	0	0
1785376848103315	2	0	0
1785376848104313	2	0	0
1785376848105313	2	0	0
1785376848106313	2	0	0
1785376848107313	1	0	0
1785376848108314	3	0	0
1785376848109314	1	0	0
1785376848110313	3	0	0
1785376848111313	2	0	0
1785376848112313	2	0	0
1785376848113312	3	0	0
1785376848114314	2	0	0
1785376848115313	2	0	0
1785376848116313	2	0	0
1785376848117313	3	0	0
1785376848118313	2	0	0
1785376848119313	2	0	0
1785376848120314	3	0	0
1785376848121313	2	0	0
1785376848122313	2	0	0
1785376848123313	3	0	0
1785376848124313	2	0	0
1785376848125314	2	0	0
1785376848126314	4	0	0
1785376848127313	2	0	0
1785376848128312	2	0	0
1785376848129313	3	0	0
1785376848130313	3	0	0
1785376848131315	2	0	0
1785376848132313	3	0	0
1785376848133313	2	0	0
1785376848134313	3	0	0
1785376848135313	2	0	0
1785376848136314	3	0	0
1785376848137313	3	0	0
1785376848138313	3	0	0
1785376848139313	3	0	0
1785376848140313	2	0	0
1785376848141313	3	0	0
1785376848142315	3	0	0
1785376848143313	3	0	0
1785376848144313	2	0	0
1785376848145313	3	0	0
1785376848146313	2	0	0
1785376848147315	3	0	0
1785376848148315	2	0	0
1785376848149314	4	1	0
1785376848150313	2	0	0
1785376848151313	3	0	0
1785376848152313	3	0	0
1785376848153314	2	0	0
1785376848154313	3	0	0
1785376848155313	3	0	0
1785376848156313	2	0	0
1785376848157314	3	0	0
1785376848158314	2	0	0
1785376848159314	3	0	0
1785376848160314	3	0	0
1785376848161314	3	0	0
1785376848162313	2	0	0
1785376848163314	3	1	0
1785376848164314	3	0	0
1785376848165314	2	0	0
1785376848166313	3	0	0
1785376848167314	2	0	0
1785376848168313	3	0	0
1785376848169314	2	0	0
1785376848170314	3	0	0
1785376848171314	2	0	0
1785376848172314	3	0	0
1785376848173314	3	0	0
1785376848174314	2	0	0
1785376848175315	3	0	0
1785376848176314	2	0	0
1785376848177314	2	0	0
1785376848178314	2	0	0
1785376848179314	2	0	0
1785376848180314	2	0	0
1785376848181315	3	0	0
1785376848182314	2	0	0
1785376848183315	2	0	0
1785376848184313	2	0	0
1785376848185313	3	0	0
1785376848186317	2	0	0
1785376848187314	2	0	0
1785376848188314	2	0	0
1785376848189314	2	0	0
1785376848190314	2	0	0
1785376848191314	1	0	0
1785376848192315	2	0	0
1785376848193314	2	0	0
1785376848194314	2	0	0
1785376848195314	2	0	0
1785376848196314	1	0	0
1785376848197315	2	0	0
1785376848198314	1	0	0
1785376848199314	2	0	0
1785376848200314	1	0	0
1785376848201314	2	0	0
1785376848202314	2	0	0
1785376848203315	2	0	0
1785376848204313	1	0	0
1785376848205314	1	0	0
1785376848206314	2	0	0
1785376848207314	1	0	0
1785376848208314	1	0	0
1785376848209316	1	0	0
1785376848210314	1	0	0
1785376848211314	1	0	0
1785376848212314	1	0	0
1785376848213314	1	0	0
1785376848214314	1	0	0
1785376848215314	1	0	0
1785376848216314	1	-1	0
1785376848218314	1	0	0
1785376848219314	1	0	0
1785376848221314	1	0	0
1785376848224314	1	0	0
1785376848228314	1	0	0
1785376848257316	0	0	1
1785376848393321	0	0	0
1785376848508323	0	-1	0
1785376848524322	0	-1	0
1785376848532322	0	-1	0
1785376848536321	1	0	0
1785376848539319	0	-1	0
1785376848542320	1	0	0
1785376848545319	0	-1	0
1785376848546318	1	0	0
1785376848549318	1	-1	0
1785376848551318	1	0	0
1785376848553319	0	-1	0
1785376848554318	1	0	0
1785376848555317	1	0	0
1785376848557319	1	-1	0
1785376848559318	2	0	0
1785376848560318	0	-1	0
1785376848561318	1	0	0
1785376848562318	1	0	0
1785376848563318	0	-1	0
1785376848564323	1	0	0
1785376848565318	1	0	0
1785376848566318	0	-1	0
1785376848567318	2	0	0
1785376848568318	0	-1	0
1785376848569318	1	0	0
1785376848570320	1	-2	0
1785376848572319	1	0	0
1785376848573318	1	-1	0
1785376848574318	1	0	0
1785376848575319	1	-1	0
1785376848576318	1	0	0
1785376848577317	1	0	0
1785376848578319	0	-1	0
1785376848579318	2	0	0
1785376848580318	1	-1	0
1785376848582319	1	-1	0
1785376848583318	1	0	0
1785376848584318	1	-1	0
1785376848585318	1	0	0
1785376848586318	2	0	0
1785376848587319	1	-1	0
1785376848588318	1	0	0
1785376848589319	1	-1	0
1785376848590318	1	0	0
1785376848591319	1	-1	0
1785376848592318	2	0	0
1785376848593319	1	-1	0
1785376848594318	2	0	0
1785376848595318	1	-1	0
1785376848596318	1	0	0
1785376848597319	2	-1	0
1785376848598318	1	0	0
1785376848599318	1	-1	0
1785376848600318	1	0	0
1785376848601318	1	-1	0
1785376848602318	2	0	0
1785376848603320	1	-1	0
1785376848604318	2	0	0
1785376848605318	1	-1	0
1785376848606318	1	0	0
1785376848607319	2	-1	0
1785376848608318	1	0	0
1785376848609319	1	-1	0
1785376848610319	2	-1	0
1785376848611319	1	0	0
1785376848612318	2	-1	0
1785376848613318	1	0	0
1785376848614319	3	-1	0
1785376848615319	1	0	0
1785376848616318	1	-1	0
1785376848617318	2	0	0
1785376848618320	1	-1	0
1785376848619319	2	0	0
1785376848620319	1	-1	0
1785376848621318	2	0	0
1785376848622319	2	-1	0
1785376848623319	1	0	0
1785376848624319	2	-1	0
1785376848625320	1	0	0
1785376848626319	2	-1	0
1785376848627318	1	0	0
1785376848628319	2	-1	0
1785376848629319	1	0	0
1785376848630319	2	-2	0
1785376848631319	2	0	0
1785376848632319	1	-1	0
1785376848633319	3	0	0
1785376848634319	1	-1	0
1785376848635318	2	0	0
1785376848636319	1	-1	0
1785376848637319	2	0	0
1785376848638319	1	-1	0
1785376848639319	2	0	0
1785376848640318	2	-1	0
1785376848641318	1	0	0
1785376848642319	2	0	0
