# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376818174998	-1	0	0
1785376818189999	-1	0	0
1785376818197997	0	-1	0
1785376818207997	-1	0	0
1785376818251000	-1	0	0
1785376818275998	-1	0	0
1785376818295998	-1	0	0
1785376818313000	-1	0	0
1785376818442999	-1	0	0
1785376819123014	0	0	1
1785376819148010	1	0	1
1785376819161009	1	0	1
1785376819170006	1	0	1
1785376819178008	1	0	1
1785376819184007	1	0	1
1785376819189009	1	-1	1
1785376819195006	1	0	1
1785376819199006	2	0	1
1785376819201007	0	-1	1
1785376819204006	1	0	1
1785376819208006	1	0	1
1785376819211009	0	-1	1
1785376819212006	1	0	1
1785376819215006	1	0	1
1785376819218007	1	0	1
1785376819219006	0	-1	1
1785376819221006	1	0	1
1785376819224006	1	0	1
1785376819226006	0	-1	1
1785376819227007	1	0	1
1785376819230006	1	0	1
1785376819232007	1	0	1
1785376819233006	0	-1	1
1785376819235006	1	0	1
1785376819237007	1	0	1
1785376819238006	0	-1	1
1785376819240007	1	0	1
1785376819242006	1	0	1
1785376819244007	1	-1	1
1785376819246006	1	0	1
1785376819248006	1	0	1
1785376819249007	0	-1	1
1785376819250006	1	0	1
1785376819253007	1	0	1
1785376819254006	1	0	1
1785376819255007	0	-1	1
1785376819257006	1	0	1
1785376819259007	1	0	1
1785376819260006	1	0	1
1785376819262007	1	-1	1
1785376819264007	1	0	1
1785376819266007	1	-1	1
1785376819268007	1	0	1
1785376819270006	1	0	1
1785376819272007	2	-1	1
1785376819273006	1	0	1
1785376819275008	1	-1	1
1785376819277007	1	0	1
1785376819279007	1	0	1
1785376819280007	0	-1	1
1785376819281006	1	0	1
1785376819283007	1	0	1
1785376819284007	0	-1	1
1785376819285006	1	0	1
1785376819286006	1	0	1
1785376819287007	0	-1	1
1785376819288007	1	0	1
1785376819290007	1	-1	1
1785376819292007	1	0	1
1785376819293006	0	-1	1
1785376819294007	1	0	1
1785376819296007	1	-2	1
1785376819298007	1	0	1
1785376819299007	0	-1	1
1785376819300007	1	0	1
1785376819302007	1	-1	1
1785376819303006	1	0	1
1785376819304007	0	-1	1
1785376819305008	1	0	1
1785376819307008	1	-1	1
1785376819309007	1	-1	1
1785376819310007	1	0	1
1785376819312009	1	-1	1
1785376819314008	1	-1	1
1785376819316007	1	-1	1
1785376819317008	1	0	1
1785376819318007	0	-1	1
1785376819319007	1	0	1
1785376819320011	1	0	1
1785376819321007	0	-1	1
1785376819322007	1	0	1
1785376819323008	0	-1	1
1785376819324007	1	0	1
1785376819325007	2	-1	1
1785376819326007	1	0	1
1785376819328008	1	-1	1
1785376819329007	0	-1	1
1785376819330007	1	0	1
1785376819331007	1	-1	1
1785376819333007	1	0	1
1785376819334008	1	-1	1
1785376819336008	1	-1	1
1785376819337006	1	0	1
1785376819338008	1	-1	1
1785376819339009	0	-1	1
1785376819340009	1	0	1
1785376819341007	1	0	1
1785376819342007	0	-1	1
1785376819343007	1	0	1
1785376819344008	1	-1	1
1785376819345008	1	-1	1
1785376819347008	1	-1	1
1785376819348007	1	0	1
1785376819349007	1	-1	1
1785376819351009	1	-1	1
1785376819352007	1	0	1
1785376819353007	1	-1	1
1785376819354007	0	-1	1
1785376819355007	1	0	1
1785376819356008	1	-1	1
1785376819357007	1	0	1
1785376819358007	0	-1	1
1785376819359007	1	-2	1
1785376819360007	1	0	1
1785376819361009	1	-1	1
1785376819362007	1	0	1
1785376819363007	0	-1	1
1785376819364007	1	-1	1
1785376819365008	2	0	1
1785376819366008	0	-1	1
1785376819367008	2	-1	1
1785376819369010	1	-1	1
1785376819370008	1	-1	1
1785376819371008	1	0	1
1785376819372008	1	-1	1
1785376819373008	0	-1	1
1785376819374009	1	0	1
1785376819375008	1	-1	1
1785376819376008	1	-1	1
1785376819377007	1	0	1
1785376819378008	0	-1	1
1785376819379008	1	-1	1
1785376819380007	1	-1	1
1785376819381007	1	0	1
1785376819382008	0	-1	1
1785376819383008	1	-1	1
1785376819384008	1	-1	1
1785376819385009	1	0	1
1785376819386008	1	-1	1
1785376819387007	0	-1	1
1785376819388009	1	-1	1
1785376819389009	1	-1	1
1785376819390007	1	-1	1
1785376819391008	1	0	1
1785376819392008	1	-1	1
