# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376829274118	-1	0	0
1785376829280113	-1	0	0
1785376829286114	-1	0	0
1785376829291115	-1	0	0
1785376829292112	0	1	0
1785376829295114	-1	0	0
1785376829299113	-1	0	0
1785376829304114	-1	1	0
1785376829308113	-1	0	0
1785376829313114	-1	1	0
1785376829317114	-1	0	0
1785376829323114	-1	0	0
1785376829326113	0	1	0
1785376829327114	-1	0	0
1785376829330113	-1	0	0
1785376829332116	0	1	0
1785376829335113	-1	0	0
1785376829337114	-1	0	0
1785376829338113	0	1	0
1785376829340113	-1	0	0
1785376829343114	0	1	0
1785376829344113	-1	0	0
1785376829347114	-1	0	0
1785376829350113	0	1	0
1785376829351113	-1	0	0
1785376829353114	0	1	0
1785376829354113	-2	0	0
1785376829357114	-1	0	0
1785376829359114	0	1	0
1785376829360113	-1	0	0
1785376829363116	-1	1	0
1785376829367115	-1	1	0
1785376829371115	-1	1	0
1785376829374115	-1	0	0
1785376829375114	0	1	0
1785376829377115	-1	0	0
1785376829379113	0	1	0
1785376829380115	-1	0	0
1785376829382113	0	1	0
1785376829384114	-1	0	0
1785376829386114	0	1	0
1785376829387114	-1	0	0
1785376829389114	-1	1	0
1785376829391114	-1	0	0
1785376829392114	0	1	0
1785376829394114	-1	0	0
1785376829395114	0	1	0
1785376829396115	-1	0	0
1785376829398114	0	2	0
1785376829400114	-1	0	0
1785376829401114	0	1	0
1785376829402114	-1	0	0
1785376829403114	-1	1	0
1785376829405114	-1	0	0
1785376829406115	0	1	0
1785376829407114	-1	0	0
1785376829408114	0	1	0
1785376829410114	-1	1	0
1785376829411114	-1	0	0
1785376829413114	-1	1	0
1785376829415114	-1	1	0
1785376829417114	-1	1	0
1785376829420115	-1	1	0
1785376829421115	-1	0	0
1785376829422114	0	1	0
1785376829423114	-1	0	0
1785376829424114	0	1	0
1785376829425115	-1	0	0
1785376829426113	0	1	0
1785376829427113	-2	0	0
1785376829428114	0	1	0
1785376829429114	-1	0	0
1785376829431114	-1	1	0
1785376829433114	-1	1	0
1785376829435115	-1	1	0
1785376829438117	-1	1	0
1785376829439114	-1	0	0
1785376829440114	0	1	0
1785376829441115	-1	0	0
1785376829442114	0	1	0
1785376829444114	-1	1	0
1785376829446115	-1	1	0
1785376829448114	0	1	0
1785376829449114	-1	0	0
1785376829450114	0	1	0
1785376829451114	-1	0	0
1785376829453114	0	1	0
1785376829454115	-1	0	0
1785376829455114	0	1	0
1785376829457116	-1	1	0
1785376829460116	-1	1	0
1785376829462114	0	1	0
1785376829463116	-1	0	0
1785376829464114	0	2	0
1785376829468115	-1	1	0
1785376829469115	0	1	0
1785376829471115	-1	0	0
1785376829472115	0	1	0
1785376829475114	0	1	0
1785376829476115	-1	0	0
1785376829478114	0	1	0
1785376829481114	0	1	0
1785376829482115	-1	0	0
1785376829484115	0	1	0
1785376829488115	0	1	0
1785376829492116	-1	1	0
1785376829497115	0	1	0
1785376829503115	0	1	0
1785376829508117	0	1	0
1785376829513115	0	1	0
1785376829520116	0	1	0
1785376829527116	0	1	0
1785376829533115	0	1	0
1785376829539115	0	1	0
1785376829546122	0	1	0
1785376829553118	0	1	0
1785376829561117	0	1	0
1785376829571118	0	1	0
1785376829583117	0	1	0
1785376829593117	0	1	0
1785376829603117	0	1	0
1785376829612116	0	1	0
1785376829621117	0	1	0
1785376829631117	0	1	0
1785376829653118	0	1	0
1785376829674118	0	2	0
1785376829685120	1	0	0
1785376829692117	0	1	0
1785376829917123	0	-2	0
1785376829927121	0	-1	0
1785376829940121	0	-1	0
1785376829954121	0	-1	0
1785376830336130	0	-1	0
1785376830348127	0	-1	0
1785376830358126	0	-1	0
1785376830369126	0	0	1
1785376830370124	0	-1	1
1785376830378125	0	-1	1
1785376830387125	0	-1	1
1785376830394125	0	-1	1
1785376830399125	0	-1	1
1785376830404125	-1	-1	1
1785376830409126	0	-1	1
1785376830415126	0	-1	1
1785376830419125	0	-1	1
1785376830423125	0	-1	1
1785376830427125	0	-1	1
1785376830428125	-1	0	1
1785376830432126	0	-1	1
1785376830435126	0	-1	1
1785376830439125	0	-1	1
1785376830442125	0	-1	1
1785376830444125	-1	-1	1
1785376830447126	0	-1	1
1785376830450125	0	-1	1
1785376830452125	0	-1	1
1785376830455126	0	-1	1
1785376830457126	0	-1	1
1785376830460126	-1	0	1
1785376830461125	0	-1	1
1785376830463125	0	-2	1
1785376830464126	0	-1	1
1785376830467126	0	-1	1
1785376830468125	-1	0	1
1785376830469125	0	-1	1
1785376830472125	0	-1	1
1785376830474125	0	-1	1
1785376830475125	-1	0	1
1785376830476126	0	-1	1
1785376830477125	0	-1	1
1785376830480127	0	-1	1
1785376830481125	0	-1	1
1785376830483124	-1	0	1
1785376830484126	0	-1	1
1785376830486126	0	-1	1
1785376830488125	0	-1	1
1785376830490126	-1	-1	1
1785376830492126	0	-1	1
1785376830495126	0	-1	1
1785376830496126	0	-1	1
1785376830498126	0	-1	1
1785376830500125	0	-1	1
1785376830503127	0	-1	1
