# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376916368058	0	-1	0
1785376916383059	0	-1	0
1785376916405058	0	-1	0
1785376916413059	0	-1	0
1785376916417058	0	-1	0
1785376916420059	1	0	0
1785376916421057	0	-1	0
1785376916424057	0	-1	0
1785376916425058	1	0	0
1785376916427057	0	-1	0
1785376916430057	1	0	0
1785376916431057	0	-1	0
1785376916435058	0	-1	0
1785376916436057	1	0	0
1785376916442057	0	-1	0
1785376916444058	1	0	0
1785376916475062	0	-1	0
1785376916481060	0	-1	0
1785376916486058	0	-1	0
1785376916490059	0	-1	0
1785376916491058	1	0	0
1785376916494059	0	-1	0
1785376916498059	1	-1	0
1785376916501058	1	-1	0
1785376916504058	1	0	0
1785376916505057	0	-1	0
1785376916506059	1	0	0
1785376916507057	0	-1	0
1785376916509058	1	0	0
1785376916510058	0	-1	0
1785376916511058	1	0	0
1785376916512057	1	0	0
1785376916513059	1	-1	0
1785376916515058	1	0	0
1785376916516058	1	-2	0
1785376916517058	1	0	0
1785376916518057	0	-1	0
1785376916519058	1	0	0
1785376916520059	2	-1	0
1785376916521058	1	0	0
1785376916522059	1	-1	0
1785376916523058	1	0	0
1785376916524058	1	0	0
1785376916525058	1	-1	0
1785376916526058	2	0	0
1785376916527058	1	-1	0
1785376916528058	1	0	0
1785376916529058	1	-1	0
1785376916530059	1	0	0
1785376916531058	2	-1	0
1785376916532058	1	0	0
1785376916533058	2	-1	0
1785376916534058	1	0	0
1785376916535057	1	-1	0
1785376916536057	2	0	0
1785376916537059	1	-1	0
1785376916538058	2	0	0
1785376916539058	1	-1	0
1785376916540058	1	0	0
1785376916541058	2	-1	0
1785376916542057	1	0	0
1785376916543058	3	-1	0
1785376916544059	2	0	0
1785376916545059	1	-1	0
1785376916546058	1	0	0
1785376916547058	2	-1	0
1785376916548059	1	0	0
1785376916549058	2	-1	0
1785376916550057	1	0	0
1785376916551058	1	-1	0
1785376916552059	2	0	0
1785376916553059	1	-1	0
1785376916554059	2	-1	0
1785376916555058	1	0	0
1785376916556058	1	-1	0
1785376916557058	1	0	0
1785376916558058	2	-1	0
1785376916559059	1	0	0
1785376916560059	1	-1	0
1785376916561059	2	-1	0
1785376916562058	1	0	0
1785376916563058	1	-1	0
1785376916564060	2	-1	0
1785376916565059	2	0	0
1785376916566058	1	-1	0
1785376916567059	1	-1	0
1785376916568058	1	0	0
1785376916569058	1	-1	0
1785376916570060	1	-2	0
1785376916571058	1	0	0
1785376916572059	2	-1	0
1785376916573059	1	-1	0
1785376916574060	1	-1	0
1785376916575059	1	-1	0
1785376916576058	2	0	0
1785376916577058	1	-1	0
1785376916578060	1	-1	0
1785376916579059	1	-1	0
1785376916580059	1	0	0
1785376916581059	1	-1	0
1785376916582059	2	-1	0
1785376916583059	1	-1	0
1785376916584059	1	-1	0
1785376916585059	1	-1	0
1785376916586058	2	-1	0
1785376916587059	1	-1	0
1785376916588059	1	-1	0
1785376916589059	3	0	0
1785376916590059	1	-1	0
1785376916591058	1	-1	0
1785376916592059	2	-1	0
1785376916593059	1	-1	0
1785376916594060	1	-1	0
1785376916595059	2	-1	0
1785376916596059	1	-2	0
1785376916597059	2	0	0
1785376916598059	1	-1	0
1785376916599058	2	-1	0
1785376916600059	1	-2	0
1785376916601059	2	-1	0
1785376916602059	2	-2	0
1785376916603061	1	-1	0
1785376916604059	2	-1	0
1785376916605058	2	-1	0
1785376916606060	1	-1	0
1785376916607059	2	-1	0
1785376916608059	3	-1	0
1785376916609059	2	-2	0
1785376916610060	2	-1	0
1785376916611060	2	-1	0
1785376916612059	2	-1	0
1785376916613060	1	-1	0
1785376916614061	2	-1	0
1785376916615059	2	-1	0
1785376916616059	3	-2	0
1785376916617061	2	-1	0
1785376916618060	2	-1	0
1785376916619058	2	-1	0
1785376916620061	2	-1	0
1785376916621059	2	-1	0
1785376916622060	3	-1	0
1785376916623059	2	-1	0
1785376916624060	2	-1	0
1785376916625058	2	-1	0
1785376916626060	2	-1	0
1785376916627059	3	-2	0
1785376916628061	2	-1	0
1785376916629059	2	-2	0
1785376916630060	3	-1	0
1785376916631060	1	-1	0
1785376916632060	3	-1	0
1785376916633059	2	-1	0
1785376916634060	2	-1	0
1785376916635059	2	-1	0
1785376916636059	3	-1	0
1785376916637060	2	-1	0
1785376916638060	2	-1	0
1785376916639059	3	-1	0
1785376916640060	2	-1	0
1785376916641059	2	-1	0
1785376916642060	2	-1	0
1785376916643060	2	0	0
1785376916644059	2	-1	0
1785376916645060	2	-1	0
1785376916646059	1	-1	0
1785376916647059	2	-1	0
1785376916648060	3	-1	0
1785376916649059	1	0	0
1785376916650059	2	-1	0
1785376916651060	3	-1	0
1785376916652058	2	0	0
1785376916653059	1	-1	0
1785376916654061	2	-1	0
1785376916655058	2	0	0
1785376916656060	1	-1	0
1785376916657059	2	-1	0
1785376916658059	1	0	0
1785376916659060	2	-1	0
1785376916660059	2	0	0
1785376916661059	1	-1	0
1785376916662060	1	0	0
1785376916663058	1	-1	0
1785376916664061	2	0	0
1785376916665062	1	-1	0
1785376916666059	1	0	0
1785376916667060	1	-2	0
1785376916668060	1	0	0
1785376916669059	1	0	0
1785376916670059	1	-1	0
1785376916671060	1	0	0
1785376916672060	2	0	0
1785376916673059	1	0	0
1785376916674060	1	-1	0
1785376916676060	1	0	0
1785376916677060	1	0	0
1785376916678061	1	0	0
1785376916679060	0	-1	0
1785376916680060	1	0	0
1785376916682060	1	0	0
1785376916683059	1	0	0
1785376916686060	1	0	0
1785376916689060	1	0	0
1785376916692060	1	0	0
1785376916696060	1	0	0
1785376916703061	1	0	0
1785376916733062	-1	0	0
1785376916737063	-1	0	0
1785376916741061	-1	0	0
1785376916744061	-1	0	0
1785376916746061	0	1	0
1785376916747061	-1	0	0
1785376916749061	-1	1	0
1785376916752061	-1	0	0
1785376916753060	0	2	0
1785376916754061	-1	0	0
1785376916756060	-1	1	0
1785376916757061	-1	0	0
1785376916759061	-1	1	0
1785376916762061	-1	0	0
1785376916763061	0	1	0
1785376916764061	-2	0	0
1785376916765061	-1	0	0
1785376916766060	0	1	0
1785376916767060	-1	0	0
1785376916768060	-1	0	0
1785376916769060	0	1	0
1785376916770061	-1	0	0
1785376916772062	-1	1	0
1785376916773061	-1	0	0
1785376916775060	-1	1	0
1785376916776061	-1	0	0
1785376916778062	-1	1	0
1785376916779061	-1	0	0
1785376916780061	0	1	0
1785376916781061	-1	0	0
1785376916782062	-1	0	0
1785376916783060	0	1	0
1785376916784061	-1	0	0
1785376916785060	0	1	0
1785376916786061	-1	0	0
1785376916787062	-1	0	0
1785376916788061	-1	1	0
1785376916790061	-1	1	0
1785376916792061	-1	1	0
1785376916793062	-1	0	0
1785376916795062	-1	1	0
1785376916796060	-1	0	0
1785376916797060	0	1	0
1785376916798062	-1	0	0
1785376916799061	-1	1	0
1785376916800060	-1	0	0
1785376916801062	0	1	0
1785376916802061	-1	0	0
1785376916803062	-1	1	0
1785376916804063	-1	0	0
1785376916805061	0	1	0
1785376916806062	-1	0	0
1785376916807061	-2	1	0
1785376916808060	-1	0	0
1785376916809063	-1	1	0
1785376916810061	-1	1	0
1785376916812062	-1	1	0
1785376916813061	-1	1	0
1785376916814063	-1	0	0
1785376916815061	-1	1	0
1785376916816061	-1	0	0
1785376916817062	0	1	0
1785376916818061	-1	1	0
1785376916819060	-1	0	0
1785376916820063	-1	2	0
1785376916821062	-1	1	0
1785376916822062	-1	1	0
1785376916823062	-1	0	0
1785376916824061	-1	1	0
1785376916825061	-1	1	0
1785376916826062	-1	0	0
1785376916827061	-1	1	0
1785376916828063	-1	1	0
1785376916830062	-1	1	0
1785376916831062	-1	1	0
1785376916832062	-1	1	0
1785376916833062	-1	0	0
1785376916834062	-1	1	0
1785376916835061	-1	1	0
