# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376956619510	1	0	0
1785376956626507	1	0	0
1785376956631507	1	0	0
1785376956637506	1	0	0
1785376956640504	1	0	0
1785376956645505	1	0	0
1785376956648505	1	0	0
1785376956651505	1	0	0
1785376956654505	1	0	0
1785376956656505	1	0	0
1785376956659505	1	0	0
1785376956661505	2	0	0
1785376956664505	1	0	0
1785376956666504	1	0	0
1785376956668505	1	0	0
1785376956670505	1	0	0
1785376956672504	1	0	0
1785376956674505	1	0	0
1785376956676505	1	0	0
1785376956678506	1	0	0
1785376956680505	1	0	0
1785376956681505	1	0	0
1785376956683505	1	0	0
1785376956685505	1	0	0
1785376956687505	1	0	0
1785376956688505	1	0	0
1785376956690506	1	0	0
1785376956692505	1	0	0
1785376956694505	1	0	0
1785376956696506	1	0	0
1785376956698505	1	0	0
1785376956699504	1	0	0
1785376956701505	1	0	0
1785376956703505	1	0	0
1785376956704504	1	0	0
1785376956706506	1	0	0
1785376956708506	1	0	0
1785376956709505	1	0	0
1785376956711505	1	0	0
1785376956712506	1	0	0
1785376956714506	2	0	0
1785376956716504	1	0	0
1785376956718505	1	0	0
1785376956719504	1	0	0
1785376956721504	1	0	0
1785376956723505	1	0	0
1785376956725505	1	0	0
1785376956726505	1	0	0
1785376956729507	1	0	0
1785376956731505	1	0	0
1785376956733506	1	0	0
1785376956735505	1	0	0
1785376956737506	1	1	0
1785376956739505	1	0	0
1785376956742506	1	0	0
1785376956744506	1	1	0
1785376956748506	1	0	0
1785376956751507	0	1	0
1785376956753506	1	0	0
1785376956757507	0	1	0
1785376956762506	0	1	0
1785376956769506	0	1	0
1785376956773507	0	1	0
1785376956777506	0	1	0
1785376956780507	0	1	0
1785376956783506	0	1	0
1785376956785506	0	1	0
1785376956787505	0	2	0
1785376956789506	-1	1	0
1785376956791507	0	1	0
1785376956792506	-1	0	0
1785376956793507	0	1	0
1785376956795507	-1	1	0
1785376956796507	-1	1	0
1785376956798507	-1	1	0
1785376956799506	0	1	0
1785376956800507	-1	0	0
1785376956801507	0	1	0
1785376956802506	-1	1	0
1785376956804507	-1	1	0
1785376956805508	-1	1	0
1785376956806507	0	1	0
1785376956807507	-1	0	0
1785376956808506	-1	1	0
1785376956809506	-1	1	0
1785376956810506	-1	1	0
1785376956811506	-1	1	0
1785376956812507	0	1	0
1785376956813506	-1	1	0
1785376956814507	-1	1	0
1785376956815506	-2	1	0
1785376956816507	-1	1	0
1785376956817507	-1	1	0
1785376956818507	-1	1	0
1785376956819507	-1	1	0
1785376956820507	-2	1	0
1785376956821505	0	1	0
1785376956822506	-2	1	0
1785376956823508	-1	1	0
1785376956824507	-1	2	0
1785376956825507	-1	1	0
1785376956826506	-2	1	0
1785376956827506	-1	1	0
1785376956828508	-1	1	0
1785376956829510	-1	1	0
1785376956830507	-2	1	0
1785376956831506	-1	1	0
1785376956832507	-1	1	0
1785376956833506	-2	1	0
1785376956834508	-1	1	0
1785376956835508	-2	1	0
1785376956836507	-1	1	0
1785376956837507	-2	1	0
1785376956838507	-2	2	0
1785376956839508	-2	1	0
1785376956840507	-1	1	0
1785376956841507	-2	1	0
1785376956842507	-2	1	0
1785376956843506	-1	1	0
1785376956844506	-2	2	0
1785376956845508	-2	1	0
1785376956846508	-1	1	0
1785376956847507	-2	1	0
1785376956848507	-2	1	0
1785376956849506	-1	1	0
1785376956850507	-2	3	0
1785376956851507	-2	1	0
1785376956852507	-1	1	0
1785376956853507	-2	1	0
1785376956854506	-2	2	0
1785376956855507	-2	1	0
1785376956856508	-3	1	0
1785376956857507	-1	1	0
1785376956858508	-2	1	0
1785376956859507	-2	1	0
1785376956860506	-2	1	0
1785376956861507	-2	1	0
1785376956862506	-2	2	0
1785376956863508	-2	1	0
1785376956864507	-2	1	0
1785376956865506	-2	1	0
1785376956866506	-2	1	0
1785376956867508	-2	1	0
1785376956868507	-1	1	0
1785376956869507	-2	1	0
1785376956870506	-2	1	0
1785376956871506	-3	1	0
1785376956872506	-2	1	0
1785376956873508	-2	1	0
1785376956874509	-2	1	0
1785376956875507	-2	1	0
1785376956876507	-1	1	0
1785376956877507	-2	1	0
1785376956878509	-2	2	0
1785376956879510	-1	1	0
1785376956880508	-2	1	0
1785376956881506	-2	0	0
1785376956882507	-1	1	0
1785376956883508	-2	1	0
1785376956884508	-2	1	0
1785376956885508	-2	1	0
1785376956886508	-1	1	0
1785376956887507	-2	1	0
1785376956888508	-2	1	0
1785376956889507	-2	0	0
1785376956890508	-1	1	0
1785376956891508	-2	1	0
1785376956892506	-1	1	0
1785376956893507	-2	0	0
1785376956894508	-1	1	0
1785376956895510	-2	1	0
1785376956896508	-1	1	0
1785376956897508	-1	0	0
1785376956898508	-2	1	0
1785376956899507	-1	0	0
1785376956900507	-1	1	0
1785376956901509	-2	1	0
1785376956902508	-1	0	0
1785376956903507	-1	1	0
1785376956904507	-1	0	0
1785376956905507	-1	1	0
1785376956906509	-1	0	0
1785376956907509	-2	1	0
1785376956908507	-1	0	0
1785376956909507	-1	0	0
1785376956910508	-1	1	0
1785376956912510	-2	1	0
1785376956913509	-1	0	0
1785376956914507	-1	0	0
1785376956915507	-1	0	0
1785376956916508	0	1	0
1785376956917509	-1	0	0
1785376956918509	-1	0	0
1785376956920508	-1	0	0
1785376956922508	-1	1	0
1785376956927509	-1	0	0
1785376956940508	1	0	0
1785376956942508	1	-1	0
1785376956943508	1	0	0
1785376956945509	1	-1	0
1785376956946508	1	0	0
1785376956947508	0	-1	0
1785376956948508	1	0	0
1785376956949508	1	-1	0
1785376956950509	2	0	0
1785376956951508	2	-1	0
1785376956952509	1	-1	0
1785376956953508	1	0	0
1785376956954509	1	-1	0
1785376956955510	2	-1	0
1785376956956509	1	-1	0
1785376956957508	1	-1	0
1785376956958508	2	0	0
1785376956959508	1	-1	0
1785376956960508	2	-1	0
1785376956961508	1	-1	0
1785376956962509	3	-1	0
1785376956963509	1	-1	0
1785376956964509	2	-1	0
1785376956965509	2	-1	0
1785376956966509	1	-2	0
1785376956967517	2	-1	0
1785376956968508	2	-1	0
1785376956969508	3	-1	0
1785376956970508	2	-1	0
1785376956971508	2	-1	0
1785376956972510	2	-3	0
1785376956973508	2	-1	0
