# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376789029696	-1	0	0
1785376789075697	-1	0	0
1785376789080693	-1	0	0
1785376789084691	-1	0	0
1785376789088690	-1	0	0
1785376789089690	0	-1	0
1785376789091691	-1	0	0
1785376789095691	-1	-1	0
1785376789097690	-1	0	0
1785376789100692	-1	-1	0
1785376789103692	-1	0	0
1785376789105691	0	-1	0
1785376789107691	-1	0	0
1785376789109690	-1	0	0
1785376789110690	0	-1	0
1785376789113690	-1	0	0
1785376789114690	0	-1	0
1785376789116691	-1	0	0
1785376789118691	0	-1	0
1785376789120691	-1	0	0
1785376789122691	0	-1	0
1785376789123691	-1	0	0
1785376789126691	0	-2	0
1785376789127691	-1	0	0
1785376789130691	-1	-1	0
1785376789133691	0	-1	0
1785376789134691	-1	0	0
1785376789137692	0	-1	0
1785376789139691	-1	0	0
1785376789140691	0	-1	0
1785376789143693	-1	-1	0
1785376789146691	0	-1	0
1785376789147690	-1	0	0
1785376789149691	0	-1	0
1785376789151691	-1	0	0
1785376789152691	0	-1	0
1785376789154691	0	-1	0
1785376789156691	-1	0	0
1785376789157691	0	-1	0
1785376789160692	0	-1	0
1785376789161691	-1	0	0
1785376789162691	0	-1	0
1785376789164690	0	-1	0
1785376789165693	-2	0	0
1785376789167692	0	-1	0
1785376789169691	0	-1	0
1785376789170691	-1	0	0
1785376789171691	0	-1	0
1785376789173691	0	-1	0
1785376789174690	-1	0	0
1785376789175690	0	-1	0
1785376789178692	0	-1	0
1785376789180692	-1	-1	0
1785376789181690	0	-1	0
1785376789183692	0	-1	0
1785376789185692	-1	-1	0
1785376789187692	0	-1	0
1785376789189692	0	-1	0
1785376789191692	-1	-1	0
1785376789193692	0	-1	0
1785376789195692	0	-1	0
1785376789196692	-1	-2	0
1785376789198692	0	-1	0
1785376789200691	0	-1	0
1785376789201691	-1	0	0
1785376789202691	0	-1	0
1785376789204693	0	-1	0
1785376789206692	-1	-1	0
1785376789208691	0	-1	0
1785376789210692	0	-1	0
1785376789212692	-1	-1	0
1785376789214693	0	-1	0
1785376789216691	0	-1	0
1785376789218692	-1	-1	0
1785376789221693	0	-1	0
1785376789223691	0	-1	0
1785376789225691	-1	-1	0
1785376789228692	0	-1	0
1785376789231692	0	-1	0
1785376789234692	0	-1	0
1785376789237692	0	-1	0
1785376789240692	0	-1	0
1785376789241692	-1	0	0
1785376789243693	0	-1	0
1785376789246692	0	-1	0
1785376789250692	0	-1	0
1785376789253692	0	-1	0
1785376789256692	0	-1	0
1785376789259693	0	-1	0
1785376789262692	0	-1	0
1785376789265692	0	-1	0
1785376789268693	0	-1	0
1785376789271693	0	-2	0
1785376789274693	0	-1	0
1785376789278692	0	-1	0
1785376789281692	0	-1	0
1785376789285693	0	-1	0
1785376789288694	0	-1	0
1785376789292693	0	-1	0
1785376789297694	0	-1	0
1785376789302693	0	-1	0
1785376789308694	0	-1	0
1785376789318693	0	-1	0
1785376789496698	0	1	0
1785376789507696	0	1	0
1785376789509695	-1	0	0
1785376789513695	0	1	0
1785376789518695	-1	0	0
1785376789519695	0	1	0
1785376789523695	0	1	0
1785376789524695	-1	0	0
1785376789528695	0	1	0
1785376789530695	-1	0	0
1785376789532695	0	1	0
1785376789535696	-1	0	0
1785376789536694	0	1	0
1785376789540697	-1	1	0
1785376789543698	0	2	0
1785376789545696	-1	0	0
1785376789547694	0	1	0
1785376789550696	0	1	0
1785376789551694	-1	0	0
1785376789554695	0	1	0
1785376789556696	-1	0	0
1785376789557694	0	1	0
1785376789560695	0	1	0
1785376789561694	-1	0	0
1785376789563695	0	1	0
1785376789566695	-1	0	0
1785376789567694	0	1	0
1785376789570695	0	1	0
1785376789573696	-1	0	0
1785376789574694	0	1	0
1785376789577696	0	1	0
1785376789579695	-1	0	0
1785376789581695	0	1	0
1785376789585697	0	1	0
1785376789586696	-1	0	0
1785376789590696	0	1	0
1785376789593696	-1	0	0
1785376789595697	0	1	0
1785376789599695	0	1	0
1785376789600696	-1	0	0
1785376789604697	0	1	0
1785376789606696	-2	0	0
1785376789609695	0	1	0
1785376789612696	-1	0	0
1785376789613695	0	1	0
1785376789617696	0	1	0
1785376789618696	-1	0	0
1785376789622696	0	1	0
1785376789624696	-1	0	0
1785376789625696	0	1	0
1785376789628696	-1	0	0
1785376789629695	0	1	0
1785376789632696	0	1	0
1785376789635696	-1	0	0
1785376789636696	0	1	0
1785376789640697	0	1	0
1785376789642696	-1	0	0
1785376789643696	0	1	0
1785376789646696	0	1	0
1785376789649696	0	1	0
1785376789650696	-1	0	0
1785376789652695	0	2	0
1785376789654697	0	1	0
1785376789657696	0	1	0
1785376789659696	0	1	0
1785376789661697	-1	0	0
1785376789662696	0	1	0
1785376789664696	0	1	0
1785376789666696	0	1	0
1785376789669696	0	1	0
1785376789671697	0	1	0
1785376789674696	-1	1	0
1785376789676697	0	1	0
1785376789678696	0	1	0
1785376789681695	0	1	0
1785376789683697	0	1	0
1785376789686696	-1	1	0
1785376789688696	0	1	0
1785376789691697	0	1	0
1785376789694697	0	1	0
