# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376803001841	-1	0	0
1785376803006839	0	-1	0
1785376803011838	0	-1	0
1785376803016839	0	-1	0
1785376803021837	0	-1	0
1785376803025837	0	-1	0
1785376803028837	-1	0	0
1785376803029836	0	-1	0
1785376803033837	0	-1	0
1785376803036836	0	-1	0
1785376803039836	0	-1	0
1785376803042838	0	-1	0
1785376803044838	0	-1	0
1785376803046836	0	-1	0
1785376803048836	0	-1	0
1785376803051837	0	-1	0
1785376803053837	0	-1	0
1785376803055837	0	-1	0
1785376803057836	0	-1	0
1785376803059836	0	-1	0
1785376803061836	0	-1	0
1785376803063836	0	-2	0
1785376803065836	0	-1	0
1785376803066838	0	-1	0
1785376803068836	0	-1	0
1785376803070837	0	-1	0
1785376803071836	0	-1	0
1785376803073837	0	-1	0
1785376803075836	0	-1	0
1785376803077837	0	-1	0
1785376803078836	0	-1	0
1785376803080836	0	-1	0
1785376803081837	0	-1	0
1785376803083837	0	-1	0
1785376803085836	0	-1	0
1785376803087835	0	-1	0
1785376803088838	0	-1	0
1785376803090837	0	-1	0
1785376803091837	0	-1	0
1785376803093838	0	-1	0
1785376803095836	0	-1	0
1785376803097836	0	-1	0
1785376803099836	0	-1	0
1785376803100838	0	-1	0
1785376803102837	0	-1	0
1785376803104837	0	-1	0
1785376803106837	0	-1	0
1785376803108835	0	-1	0
1785376803110839	0	-1	0
1785376803112837	0	-1	0
1785376803114837	0	-1	0
1785376803115836	0	-2	0
1785376803117837	0	-1	0
1785376803119835	0	-1	0
1785376803121836	0	-1	0
1785376803123837	0	-1	0
1785376803125837	0	-1	0
1785376803127838	0	-1	0
1785376803129837	0	-1	0
1785376803131837	0	-1	0
1785376803133838	0	-1	0
1785376803136837	0	-1	0
1785376803138837	0	-1	0
1785376803140837	0	-1	0
1785376803142837	0	-1	0
1785376803145838	0	-1	0
1785376803147838	0	-1	0
1785376803150837	0	-1	0
1785376803152838	0	-1	0
1785376803153837	1	0	0
1785376803155837	0	-1	0
1785376803158837	0	-1	0
1785376803161838	0	-1	0
1785376803163837	0	-1	0
1785376803166840	0	-1	0
1785376803168837	1	0	0
1785376803169837	0	-1	0
1785376803173838	0	-1	0
1785376803177839	0	-1	0
1785376803180838	0	-1	0
1785376803183838	0	-1	0
1785376803187839	0	-1	0
1785376803190838	1	0	0
1785376803191838	0	-2	0
1785376803194838	0	-1	0
1785376803198838	0	-1	0
1785376803201839	0	-1	0
1785376803204839	0	-1	0
1785376803208838	0	-1	0
1785376803212838	0	-1	0
1785376803215837	0	-1	0
1785376803219838	0	-1	0
1785376803224839	0	-1	0
1785376803228838	0	-1	0
1785376803234838	0	-1	0
1785376803240838	0	-1	0
1785376803241837	1	0	0
1785376803247840	0	-1	0
1785376803256838	0	-1	0
1785376803268839	0	-1	0
1785376803379845	0	0	1
1785376803393845	0	1	1
1785376803397843	0	1	1
1785376803400841	0	1	1
1785376803403840	0	1	1
1785376803406840	0	1	1
1785376803409839	0	1	1
1785376803411840	0	1	1
1785376803414840	0	1	1
1785376803416839	0	1	1
1785376803418840	0	1	1
1785376803420840	0	1	1
1785376803422840	0	1	1
1785376803424840	0	1	1
1785376803425839	0	1	1
1785376803427841	0	2	1
1785376803429840	0	1	1
1785376803431839	0	1	1
1785376803432839	0	1	1
1785376803434840	0	1	1
1785376803436839	0	1	1
1785376803437839	0	1	1
1785376803438840	0	1	1
1785376803440840	0	1	1
1785376803441839	0	1	1
1785376803443839	0	1	1
1785376803444840	0	1	1
1785376803445840	0	1	1
1785376803447840	0	1	1
1785376803448840	0	1	1
1785376803449840	0	1	1
1785376803451841	0	1	1
1785376803452839	0	1	1
1785376803453839	0	1	1
1785376803454839	0	1	1
1785376803455841	0	1	1
1785376803456840	0	1	1
1785376803457840	0	1	1
1785376803458840	0	1	1
1785376803460842	0	1	1
1785376803461841	0	1	1
1785376803462840	0	1	1
1785376803463840	0	1	1
1785376803464841	-1	1	1
1785376803465841	0	2	1
1785376803466842	0	1	1
1785376803467841	0	1	1
1785376803468840	0	1	1
1785376803469839	0	1	1
1785376803470839	0	1	1
1785376803471849	0	1	1
1785376803472840	0	1	1
1785376803473840	0	1	1
1785376803474839	0	1	1
1785376803475840	0	1	1
1785376803476839	0	1	1
1785376803477841	0	2	1
1785376803479840	0	2	1
1785376803480840	0	1	1
1785376803481839	0	1	1
1785376803482841	0	1	1
1785376803483842	0	1	1
1785376803484840	0	1	1
1785376803485840	0	2	1
1785376803486841	0	1	1
1785376803487840	0	1	1
1785376803488841	0	2	1
1785376803489841	0	1	1
1785376803490840	0	1	1
1785376803491840	0	1	1
1785376803492839	0	2	1
1785376803493841	0	1	1
1785376803494842	0	2	1
1785376803495841	0	1	1
1785376803496839	0	1	1
1785376803497841	0	2	1
1785376803498839	0	1	1
1785376803499839	0	2	1
1785376803500841	0	1	1
1785376803501840	0	1	1
1785376803502841	0	1	1
1785376803503841	0	2	1
1785376803504840	0	1	1
1785376803505843	0	1	1
1785376803506841	0	2	1
1785376803507840	0	1	1
1785376803508839	0	1	1
1785376803509839	0	2	1
1785376803510841	0	2	1
1785376803511841	0	1	1
1785376803512839	0	1	1
1785376803513840	-1	3	1
1785376803514840	0	1	1
1785376803515839	0	1	1
1785376803516843	0	2	1
1785376803517841	0	1	1
1785376803518840	0	1	1
1785376803519840	0	2	1
1785376803520840	0	1	1
1785376803521840	0	2	1
1785376803522843	0	1	1
1785376803523840	0	1	1
1785376803524841	0	2	1
1785376803525840	0	1	1
1785376803526840	0	1	1
1785376803527843	0	2	1
1785376803528841	0	1	1
1785376803529840	0	1	1
1785376803530840	0	1	1
1785376803531841	0	2	1
1785376803532842	0	1	1
1785376803533842	0	1	1
1785376803534841	0	2	1
1785376803535841	0	2	1
1785376803536840	0	1	1
1785376803537841	0	1	1
1785376803538841	0	1	1
1785376803539841	0	1	1
1785376803540840	0	1	1
1785376803541840	0	1	1
1785376803542841	0	1	1
1785376803543840	0	1	1
1785376803544842	0	1	1
1785376803545841	0	1	1
1785376803546841	0	1	1
1785376803547840	0	1	1
1785376803548841	0	1	1
1785376803550841	0	1	1
1785376803551841	0	1	1
1785376803552840	0	1	1
1785376803554840	0	1	1
1785376803556841	0	1	1
1785376803557841	0	1	1
1785376803559841	0	1	1
1785376803562841	0	1	1
1785376803564842	0	1	1
1785376803567843	0	1	1
1785376803572842	0	1	1
1785376803581842	0	1	1
1785376803671847	0	0	0
1785376803699850	0	-1	0
1785376803705844	0	-1	0
1785376803710842	0	-1	0
1785376803715844	0	-1	0
1785376803719844	0	-1	0
1785376803723844	1	-1	0
1785376803727846	0	-1	0
1785376803731844	0	-1	0
1785376803732842	1	0	0
1785376803734843	0	-1	0
1785376803737842	0	-1	0
1785376803740844	1	-1	0
1785376803744846	0	-1	0
1785376803747844	1	-1	0
1785376803749844	0	-1	0
1785376803752845	1	-1	0
1785376803754843	0	-1	0
1785376803757844	2	-1	0
1785376803759844	0	-1	0
1785376803760844	1	0	0
1785376803761844	0	-1	0
1785376803763844	1	-1	0
1785376803765842	0	-1	0
1785376803766845	1	0	0
1785376803767844	0	-1	0
1785376803769844	0	-1	0
1785376803770844	1	-1	0
1785376803772844	1	-2	0
1785376803774844	1	-1	0
1785376803775845	0	-1	0
1785376803776844	1	0	0
1785376803777844	0	-1	0
1785376803778844	1	0	0
1785376803779844	0	-1	0
