# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376578598648	-1	0	0
1785376578603647	-2	0	0
1785376578606646	-1	0	0
1785376578610645	-1	0	0
1785376578613646	-1	0	0
1785376578614645	0	1	0
1785376578616647	-1	0	0
1785376578620645	-1	0	0
1785376578622645	-1	0	0
1785376578623646	0	1	0
1785376578626647	-1	0	0
1785376578629647	-1	0	0
1785376578631646	-1	1	0
1785376578633647	-1	0	0
1785376578637645	-1	0	0
1785376578639646	-1	1	0
1785376578642647	-1	0	0
1785376578645646	-1	0	0
1785376578647646	-1	2	0
1785376578650647	-1	0	0
1785376578652646	-1	0	0
1785376578654645	0	1	0
1785376578655646	-1	0	0
1785376578658646	-1	0	0
1785376578660646	-1	0	0
1785376578661645	0	1	0
1785376578663646	-1	0	0
1785376578665646	-1	0	0
1785376578668646	-1	1	0
1785376578671646	-1	0	0
1785376578674646	-1	1	0
1785376578676646	-1	0	0
1785376578679646	-1	0	0
1785376578680646	0	1	0
1785376578681645	-1	0	0
1785376578684646	-1	0	0
1785376578685645	0	1	0
1785376578687648	-2	0	0
1785376578689646	-1	0	0
1785376578690645	0	1	0
1785376578692645	-1	0	0
1785376578694646	-1	0	0
1785376578696646	0	1	0
1785376578697646	-1	0	0
1785376578699646	-1	0	0
1785376578700646	0	1	0
1785376578701646	-1	0	0
1785376578703647	-1	0	0
1785376578704647	0	1	0
1785376578705646	-1	0	0
1785376578707646	-1	0	0
1785376578708646	0	1	0
1785376578709648	-1	0	0
1785376578711646	-1	1	0
1785376578712646	-1	0	0
1785376578714647	-1	1	0
1785376578715647	-1	0	0
1785376578717646	-1	0	0
1785376578718646	-1	1	0
1785376578720647	-1	0	0
1785376578721647	-1	1	0
1785376578722645	-1	0	0
1785376578724647	-1	1	0
1785376578725646	-1	0	0
1785376578727646	-1	1	0
1785376578728647	-1	0	0
1785376578730647	-1	1	0
1785376578731647	-1	0	0
1785376578732647	-1	0	0
1785376578733646	-1	1	0
1785376578734647	-1	0	0
1785376578736647	-2	1	0
1785376578737646	-1	0	0
1785376578739647	-1	1	0
1785376578740646	-1	0	0
1785376578741646	-1	0	0
1785376578742647	0	1	0
1785376578743647	-1	0	0
1785376578744646	-1	1	0
1785376578745646	-1	0	0
1785376578746647	-1	0	0
1785376578747646	0	1	0
1785376578748648	-1	0	0
1785376578749646	-1	0	0
1785376578750647	-1	1	0
1785376578752647	-1	0	0
1785376578753648	-1	1	0
1785376578754647	-1	0	0
1785376578755648	-1	0	0
1785376578756647	0	1	0
1785376578757645	-1	0	0
1785376578758645	-1	0	0
1785376578759647	-1	1	0
1785376578761647	-1	0	0
1785376578762646	-1	2	0
1785376578763646	-1	0	0
1785376578765647	-1	1	0
1785376578766646	-1	0	0
1785376578768646	-1	1	0
1785376578769647	-1	0	0
1785376578771647	-1	1	0
1785376578773647	-1	0	0
1785376578774646	-1	1	0
1785376578776647	-2	0	0
1785376578777646	-1	0	0
1785376578778646	0	1	0
1785376578779646	-1	0	0
1785376578781647	-1	1	0
1785376578783646	-1	0	0
1785376578785647	-1	0	0
1785376578786646	0	1	0
1785376578787647	-1	0	0
1785376578789647	-1	1	0
1785376578791647	-1	0	0
1785376578792646	0	1	0
1785376578793647	-1	0	0
1785376578795647	-1	0	0
1785376578796646	0	1	0
1785376578797646	-1	0	0
1785376578799647	-1	1	0
1785376578801647	-1	0	0
1785376578803647	-1	1	0
1785376578805647	-1	0	0
1785376578806647	0	1	0
1785376578807647	-1	0	0
1785376578809650	-1	1	0
1785376578811647	-1	0	0
1785376578813647	0	1	0
1785376578814647	-1	0	0
1785376578816647	-1	1	0
1785376578818647	-1	0	0
1785376578820650	-1	1	0
1785376578823647	-1	1	0
1785376578826647	-1	0	0
1785376578827646	0	1	0
1785376578828646	-1	0	0
1785376578830647	-1	0	0
1785376578831647	0	1	0
1785376578833648	-1	0	0
1785376578834646	0	1	0
1785376578836647	-1	0	0
1785376578838649	0	1	0
1785376578839648	-1	0	0
1785376578841648	-2	0	0
1785376578842648	0	1	0
1785376578844648	-1	0	0
1785376578847648	0	1	0
1785376578848647	-1	0	0
1785376578851648	0	1	0
1785376578852648	-1	0	0
1785376578856648	-1	0	0
1785376578857647	0	1	0
1785376578860649	-1	0	0
1785376578863648	0	1	0
1785376578865648	-1	0	0
1785376578870648	-1	0	0
1785376578871648	0	1	0
1785376578877649	-1	0	0
1785376578880648	0	2	0
1785376578882648	-1	0	0
1785376578889648	-1	0	0
1785376578890648	0	1	0
1785376578899649	-1	0	0
1785376578904648	0	1	0
1785376578907648	-1	0	0
1785376578914648	-1	0	0
1785376578920649	0	1	0
1785376578923649	-1	0	0
1785376578933650	-1	1	0
1785376578941649	-1	0	0
1785376578946648	0	1	0
1785376578951649	-1	0	0
1785376578957649	0	1	0
1785376578959648	-1	0	0
1785376578966648	-1	1	0
1785376578971648	-1	0	0
1785376578975648	0	1	0
1785376578978649	-1	0	0
1785376578983649	-1	1	0
1785376578990650	-1	0	0
1785376578992649	0	1	0
1785376578995650	-1	0	0
1785376579001650	-1	1	0
1785376579007649	-1	0	0
1785376579012650	0	1	0
1785376579014649	-1	0	0
1785376579027649	-1	0	0
1785376579039650	0	1	0
1785376579224656	0	0	1
1785376579258652	1	0	1
1785376579263652	1	0	1
1785376579267651	1	0	1
1785376579271651	1	0	1
1785376579275651	1	0	1
1785376579277651	1	0	1
1785376579280651	1	0	1
1785376579283651	1	-1	1
1785376579285652	1	0	1
1785376579287652	1	0	1
1785376579288651	0	-1	1
1785376579289651	1	0	1
1785376579291651	1	0	1
1785376579293651	1	-1	1
1785376579295652	1	0	1
1785376579296651	1	0	1
1785376579297651	0	-1	1
1785376579298651	1	0	1
1785376579300652	1	0	1
1785376579301652	1	-1	1
1785376579303653	1	0	1
1785376579304652	1	-1	1
1785376579305651	1	0	1
1785376579307651	1	0	1
1785376579308651	1	-1	1
1785376579310652	1	-1	1
1785376579311652	1	0	1
1785376579312652	1	0	1
1785376579313651	1	-1	1
1785376579315652	2	-1	1
1785376579316652	1	0	1
1785376579317651	1	0	1
1785376579318651	1	-1	1
1785376579320653	1	-1	1
1785376579321652	1	0	1
1785376579322650	1	0	1
1785376579323652	1	-2	1
1785376579324651	1	0	1
1785376579325652	1	-1	1
1785376579326651	1	0	1
1785376579328652	1	-1	1
1785376579329652	1	-1	1
1785376579330651	1	0	1
1785376579331651	1	0	1
1785376579332651	1	-1	1
1785376579333651	1	-1	1
1785376579334652	1	0	1
1785376579335652	1	-1	1
1785376579336652	1	0	1
1785376579337652	1	-1	1
1785376579338652	1	0	1
1785376579339653	0	-1	1
1785376579340650	1	0	1
1785376579341652	1	-1	1
1785376579342651	1	-1	1
1785376579343653	1	-1	1
1785376579344651	1	0	1
1785376579345652	1	-1	1
1785376579346650	1	0	1
1785376579347652	1	-1	1
1785376579348652	2	-1	1
1785376579349651	1	0	1
1785376579350652	1	-1	1
1785376579351652	1	-1	1
1785376579352651	1	0	1
1785376579353654	1	-1	1
1785376579354654	1	-1	1
1785376579355651	1	0	1
1785376579356653	1	-1	1
1785376579357652	0	-1	1
1785376579358651	1	0	1
1785376579359653	1	-1	1
1785376579360652	1	-1	1
1785376579361652	1	0	1
1785376579362652	1	-1	1
1785376579363652	0	-1	1
1785376579364653	1	-1	1
1785376579365653	1	0	1
1785376579366652	1	-1	1
1785376579367652	1	-1	1
1785376579368651	1	0	1
1785376579369652	0	-1	1
1785376579370651	1	-2	1
1785376579371652	1	0	1
1785376579372651	0	-1	1
1785376579373653	1	-1	1
1785376579374651	1	0	1
1785376579375651	1	-1	1
1785376579376652	0	-1	1
1785376579377651	1	0	1
1785376579378653	1	-1	1
1785376579379652	1	-1	1
1785376579380652	1	0	1
1785376579381651	0	-1	1
1785376579382653	1	-1	1
1785376579383651	2	0	1
1785376579384652	0	-1	1
1785376579385653	1	-1	1
1785376579386652	1	-1	1
1785376579387652	1	0	1
1785376579388652	0	-1	1
1785376579389652	1	-1	1
1785376579390651	1	0	1
1785376579391651	0	-1	1
1785376579392653	1	-1	1
1785376579394653	1	-1	1
1785376579395652	1	-1	1
1785376579396652	1	0	1
1785376579397652	0	-1	1
1785376579398652	1	-1	1
1785376579399652	1	0	1
1785376579400653	1	-1	1
1785376579401653	0	-1	1
1785376579402652	1	0	1
1785376579403654	1	-1	1
1785376579404653	0	-1	1
1785376579405653	1	-1	1
1785376579406652	1	0	1
1785376579407652	1	-1	1
1785376579408652	0	-1	1
1785376579409652	1	0	1
1785376579410652	1	-1	1
1785376579411651	0	-1	1
1785376579412652	1	0	1
1785376579413651	1	-2	1
1785376579414651	0	-1	1
1785376579415653	1	0	1
1785376579416652	1	-1	1
1785376579417653	0	-1	1
1785376579418652	1	0	1
1785376579419651	1	-1	1
1785376579420652	0	-1	1
1785376579421652	1	0	1
1785376579422652	1	-1	1
1785376579424652	1	-1	1
1785376579425653	2	-1	1
1785376579427652	1	-1	1
1785376579428653	1	-1	1
1785376579430653	1	-1	1
1785376579431653	1	-1	1
1785376579433653	1	-1	1
1785376579434653	0	-1	1
1785376579435652	1	0	1
1785376579436652	1	-1	1
1785376579437653	0	-1	1
1785376579438652	1	0	1
1785376579439653	0	-1	1
1785376579440652	1	-1	1
1785376579441653	1	-1	1
1785376579443653	1	-1	1
