# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376880858672	0	-1	0
1785376880861672	1	0	0
1785376880863669	0	-1	0
1785376880867669	0	-1	0
1785376880868667	1	0	0
1785376880870667	0	-1	0
1785376880873669	1	0	0
1785376880874666	0	-1	0
1785376880877667	1	-1	0
1785376880881668	1	-1	0
1785376880885667	0	-1	0
1785376880886666	1	0	0
1785376880889667	0	-2	0
1785376880891667	1	0	0
1785376880896668	0	-1	0
1785376880971670	1	0	0
1785376880978671	0	-1	0
1785376880980669	2	0	0
1785376880981668	0	-1	0
1785376880983669	1	-1	0
1785376880985668	1	0	0
1785376880986669	0	-1	0
1785376880987668	1	0	0
1785376880988668	0	-1	0
1785376880989669	1	0	0
1785376880990668	0	-1	0
1785376880992669	1	-1	0
1785376880994669	1	0	0
1785376880995669	0	-1	0
1785376880996668	1	0	0
1785376880999669	1	0	0
1785376881000670	0	-1	0
1785376881026670	0	1	0
1785376881029670	0	1	0
1785376881031669	0	1	0
1785376881033671	0	1	0
1785376881034669	0	1	0
1785376881036670	0	1	0
1785376881037670	-1	0	0
1785376881038670	0	1	0
1785376881041669	0	1	0
1785376881042669	-1	0	0
1785376881043669	0	1	0
1785376881046669	-1	0	0
1785376881047669	0	2	0
1785376881068669	0	-1	0
1785376881071670	0	-1	0
1785376881074670	0	-1	0
1785376881075669	0	-1	0
1785376881077671	1	0	0
1785376881078669	0	-1	0
1785376881080670	0	-1	0
1785376881081669	1	0	0
1785376881083671	0	-1	0
1785376881085669	1	0	0
1785376881115670	0	1	0
1785376881118670	0	1	0
1785376881122671	0	1	0
1785376881186674	0	1	0
1785376881189672	0	1	0
1785376881191671	0	2	0
1785376881192670	0	1	0
1785376881194674	-1	1	0
1785376881196670	0	1	0
1785376881197670	-1	1	0
1785376881199671	0	1	0
1785376881200671	0	1	0
1785376881201671	-1	0	0
1785376881202671	0	1	0
1785376881204672	-1	1	0
1785376881205671	0	1	0
1785376881207671	-1	0	0
1785376881208669	0	1	0
1785376881211673	0	1	0
1785376881212671	-1	0	0
1785376881243673	0	-1	0
1785376881246672	0	-1	0
1785376881248674	1	-1	0
1785376881252673	1	-1	0
1785376881284675	0	1	0
1785376881287672	0	1	0
1785376881290671	0	1	0
1785376881291672	-1	0	0
1785376881323673	0	-1	0
1785376881325672	0	-1	0
1785376881327673	0	-1	0
1785376881330671	0	-1	0
1785376881428677	0	1	0
1785376881431674	0	1	0
1785376881433676	-1	0	0
1785376881434673	0	1	0
1785376881437673	0	1	0
1785376881438674	-1	0	0
1785376881441674	0	1	0
1785376881446673	0	1	0
1785376881447673	-2	0	0
1785376881489684	0	-1	0
1785376881623678	1	0	0
1785376881625676	0	-1	0
1785376881629676	1	0	0
1785376881630675	0	-1	0
1785376881634676	1	0	0
1785376881636676	0	-1	0
1785376881639678	1	0	0
1785376881644676	1	0	0
1785376881649676	1	0	0
1785376881654676	1	0	0
1785376881657676	1	0	0
1785376881660676	1	0	0
1785376881662676	1	1	0
1785376881665676	1	0	0
1785376881666676	0	1	0
1785376881668676	1	0	0
1785376881672676	1	1	0
1785376881677677	0	1	0
1785376881680676	1	0	0
1785376881718678	-1	0	0
1785376881784680	0	-1	0
1785376881788679	0	-1	0
1785376881791678	0	-1	0
1785376881793677	0	-1	0
1785376881796678	1	-1	0
1785376881797677	0	-1	0
1785376881799677	0	-1	0
1785376881800678	1	-1	0
1785376881802678	0	-1	0
1785376881804678	0	-1	0
1785376881805677	1	-1	0
1785376881807677	0	-2	0
1785376881809678	0	-1	0
1785376881811679	1	-1	0
1785376881813678	0	-1	0
1785376881816678	0	-1	0
1785376881821679	0	-1	0
1785376881834680	0	-1	0
1785376881862681	-1	0	0
1785376881865679	-1	0	0
1785376881868679	-1	0	0
1785376881869679	-1	0	0
1785376881872679	-1	0	0
1785376881873679	-1	0	0
1785376881875678	-1	0	0
1785376881876678	-1	0	0
1785376881877678	0	1	0
1785376881878679	-1	0	0
1785376881880679	-1	1	0
1785376881881678	-1	0	0
1785376881883679	-1	1	0
1785376881885678	-1	0	0
1785376881886679	-1	1	0
1785376881888678	-1	0	0
1785376881890679	0	1	0
1785376881891678	-2	0	0
1785376881893679	-1	0	0
1785376881898679	-1	0	0
1785376881942680	-1	0	0
1785376881946680	-1	0	0
1785376881949679	-1	0	0
1785376881950679	0	2	0
1785376881951679	-1	0	0
1785376881953679	-1	1	0
1785376881954680	-1	1	0
1785376881956679	-1	1	0
1785376881958679	-1	0	0
1785376881959680	-1	1	0
1785376881960678	0	1	0
1785376881961682	-1	0	0
1785376881962678	0	1	0
1785376881963678	-1	0	0
1785376881965680	-1	1	0
1785376881966679	-1	0	0
1785376881969679	-1	0	0
1785376881972680	-1	0	0
1785376881979679	-1	0	0
1785376881982681	0	-1	0
1785376881985679	0	-1	0
1785376881987680	0	-1	0
1785376881989680	0	-1	0
1785376881991680	0	-1	0
1785376881993680	0	-1	0
1785376881995680	0	-2	0
1785376881997680	0	-1	0
1785376882000681	0	-1	0
1785376882003681	0	-1	0
1785376882019682	-1	0	0
1785376882024681	-1	0	0
1785376882027681	-1	0	0
1785376882029680	0	1	0
1785376882030681	-1	0	0
1785376882032680	-1	1	0
1785376882034680	-1	0	0
1785376882035679	0	2	0
1785376882036679	-1	0	0
1785376882038681	-1	1	0
1785376882040680	-1	0	0
1785376882043680	-1	0	0
1785376882045680	0	1	0
1785376882046680	-2	0	0
1785376882060681	0	-1	0
1785376882063681	0	-2	0
1785376882066680	0	-1	0
1785376882068680	0	-1	0
1785376882069681	0	-1	0
1785376882071681	0	-1	0
1785376882073680	0	-1	0
1785376882075680	0	-1	0
1785376882077680	0	-1	0
1785376882079680	0	-1	0
1785376882081680	0	-1	0
1785376882084680	0	-1	0
1785376882091682	-1	0	0
1785376882114683	-1	0	0
1785376882166685	-1	0	0
1785376882170683	-1	0	0
