# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376761772414	1	0	0
1785376761785413	1	0	0
1785376761794411	1	0	0
1785376761801408	1	0	0
1785376761806409	1	0	0
1785376761809409	2	0	0
1785376761813411	1	-1	0
1785376761816409	1	0	0
1785376761819409	1	0	0
1785376761822409	1	0	0
1785376761823409	0	-1	0
1785376761824410	1	0	0
1785376761826409	1	0	0
1785376761828408	1	0	0
1785376761830409	1	-1	0
1785376761832408	1	0	0
1785376761834409	1	0	0
1785376761836409	1	-1	0
1785376761837408	1	0	0
1785376761839408	1	0	0
1785376761840409	1	0	0
1785376761842410	1	-1	0
1785376761843410	1	0	0
1785376761845409	1	0	0
1785376761846409	1	0	0
1785376761847409	0	-1	0
1785376761848408	1	0	0
1785376761849409	1	0	0
1785376761850409	1	0	0
1785376761851408	1	0	0
1785376761852410	1	-1	0
1785376761854408	1	0	0
1785376761855409	1	0	0
1785376761856410	1	-1	0
1785376761857409	1	0	0
1785376761858411	1	0	0
1785376761859409	2	-1	0
1785376761860409	1	0	0
1785376761861408	1	0	0
1785376761862408	1	0	0
1785376761863412	1	-1	0
1785376761864409	1	0	0
1785376761866410	1	-1	0
1785376761867409	1	0	0
1785376761868408	2	0	0
1785376761869411	1	-1	0
1785376761870410	1	0	0
1785376761871409	1	0	0
1785376761872408	1	-1	0
1785376761873409	1	0	0
1785376761874409	2	0	0
1785376761875409	1	-1	0
1785376761876409	1	0	0
1785376761877410	1	-1	0
1785376761878409	1	0	0
1785376761879408	2	0	0
1785376761880410	1	-1	0
1785376761881409	1	0	0
1785376761882411	2	-2	0
1785376761883410	1	0	0
1785376761884408	1	0	0
1785376761885410	2	-1	0
1785376761886409	2	0	0
1785376761887409	1	-1	0
1785376761888410	1	0	0
1785376761889408	2	-1	0
1785376761890410	1	0	0
1785376761891412	2	-1	0
1785376761892409	1	0	0
1785376761893410	1	-1	0
1785376761894410	2	-1	0
1785376761895408	1	0	0
1785376761896410	1	-1	0
1785376761897409	2	0	0
1785376761898408	1	-1	0
1785376761899410	1	0	0
1785376761900409	2	-1	0
1785376761901408	1	-1	0
1785376761902410	2	0	0
1785376761903409	2	-1	0
1785376761904408	1	0	0
1785376761905410	2	-1	0
1785376761906410	2	0	0
1785376761907411	2	-1	0
1785376761908410	1	-1	0
1785376761909409	2	0	0
1785376761910411	1	-1	0
1785376761911410	2	-1	0
1785376761912409	1	0	0
1785376761913412	2	-1	0
1785376761914410	2	-1	0
1785376761915410	1	0	0
1785376761916410	2	-1	0
1785376761917410	2	0	0
1785376761918412	1	-1	0
1785376761919410	2	-1	0
1785376761920410	1	-1	0
1785376761921410	2	0	0
1785376761922410	1	-1	0
1785376761923410	2	-1	0
1785376761924409	3	-1	0
1785376761925410	1	0	0
1785376761926410	2	-1	0
1785376761927410	2	0	0
1785376761928410	1	-1	0
1785376761929410	2	-1	0
1785376761930411	1	-2	0
1785376761931409	2	0	0
1785376761932412	2	-1	0
1785376761933410	1	-1	0
1785376761934410	2	0	0
1785376761935411	2	-1	0
1785376761936410	1	-1	0
1785376761937410	2	0	0
1785376761938411	2	-1	0
1785376761939410	1	-1	0
1785376761940411	2	-1	0
1785376761941410	1	0	0
1785376761942410	3	-1	0
1785376761943410	1	-1	0
1785376761944411	2	0	0
1785376761945410	2	-1	0
1785376761946412	2	-1	0
1785376761947411	1	-1	0
1785376761948409	2	0	0
1785376761949409	1	-1	0
1785376761950409	2	-1	0
1785376761951409	1	0	0
1785376761952412	2	-1	0
1785376761953410	1	-1	0
1785376761954409	2	0	0
1785376761955411	1	-1	0
1785376761956409	2	-1	0
1785376761957411	2	-1	0
1785376761958410	1	0	0
1785376761959410	2	-1	0
1785376761960411	2	-1	0
1785376761961410	2	-1	0
1785376761962410	2	0	0
1785376761963410	1	-1	0
1785376761964410	2	-1	0
1785376761965410	2	-1	0
1785376761966410	1	0	0
1785376761967411	2	-1	0
1785376761968410	1	-1	0
1785376761969411	2	-1	0
1785376761970410	1	0	0
1785376761971411	2	-1	0
1785376761972410	1	-2	0
1785376761973411	2	-1	0
1785376761974410	2	0	0
1785376761975410	1	-1	0
1785376761976410	2	-1	0
1785376761977410	1	0	0
1785376761978410	2	-1	0
1785376761979410	1	-1	0
1785376761980410	3	-1	0
1785376761981410	1	0	0
1785376761982411	2	-1	0
1785376761983411	1	-1	0
1785376761984410	2	-1	0
1785376761985410	1	0	0
1785376761986411	2	-1	0
1785376761987411	2	-1	0
1785376761988410	1	0	0
1785376761989412	1	-1	0
1785376761990412	2	-1	0
1785376761991411	1	-1	0
1785376761992410	1	0	0
1785376761993410	2	-1	0
1785376761994410	1	-1	0
1785376761995410	1	0	0
1785376761996412	2	-1	0
1785376761997411	1	0	0
1785376761998410	2	-1	0
1785376761999410	1	-1	0
1785376762000409	2	0	0
1785376762001410	1	-1	0
1785376762002411	2	-1	0
1785376762003410	1	0	0
1785376762004410	1	-1	0
1785376762005410	1	-1	0
1785376762006409	2	0	0
1785376762007410	1	-1	0
1785376762008412	1	0	0
1785376762009411	1	-1	0
1785376762010409	2	-1	0
1785376762011411	1	0	0
1785376762012411	1	-1	0
1785376762013411	1	0	0
1785376762014410	1	-1	0
1785376762015410	1	0	0
1785376762016411	2	-2	0
1785376762017410	1	0	0
1785376762018410	1	-1	0
1785376762019411	1	0	0
1785376762020410	1	-1	0
1785376762021411	1	0	0
1785376762022410	1	-1	0
1785376762023410	1	0	0
1785376762024419	1	-1	0
1785376762025411	1	0	0
1785376762026411	2	-1	0
1785376762027410	1	0	0
1785376762028410	1	-1	0
1785376762029410	1	0	0
1785376762030411	1	0	0
1785376762031411	1	-1	0
1785376762032410	1	0	0
1785376762033411	1	-1	0
1785376762035413	1	-1	0
1785376762036410	1	0	0
1785376762037411	1	0	0
1785376762038410	1	-1	0
1785376762039410	1	0	0
1785376762040411	0	-1	0
1785376762041410	1	0	0
1785376762042411	1	0	0
1785376762043411	1	-1	0
1785376762045410	1	0	0
1785376762046411	0	-1	0
1785376762047411	1	0	0
1785376762048410	1	0	0
1785376762049411	0	-1	0
1785376762050410	1	0	0
1785376762052411	1	0	0
1785376762053412	0	-1	0
1785376762054410	1	0	0
1785376762056411	1	0	0
1785376762057411	0	-1	0
1785376762059411	1	0	0
1785376762062412	1	-1	0
1785376762070413	1	0	0
1785376762105413	-1	0	0
1785376762107412	-1	0	0
1785376762109412	-1	0	0
1785376762111412	-1	0	0
1785376762112412	-1	0	0
1785376762114413	-1	1	0
1785376762115412	-1	0	0
1785376762116412	-1	0	0
1785376762117411	-1	0	0
1785376762118412	-1	1	0
1785376762119412	-1	0	0
1785376762120412	0	0	1
1785376762121412	-1	1	1
1785376762122411	-1	0	1
1785376762123412	-2	0	1
1785376762124412	-1	1	1
1785376762125412	-1	0	1
1785376762126412	-2	0	1
1785376762127412	-1	1	1
1785376762128412	-2	0	1
1785376762129411	-1	1	1
1785376762130412	-3	0	1
1785376762131412	-2	1	1
1785376762132412	-2	0	1
1785376762133412	-2	1	1
1785376762134412	-2	0	1
1785376762135412	-2	1	1
1785376762136413	-2	0	1
1785376762137413	-2	1	1
1785376762138413	-2	1	1
1785376762139413	-3	0	1
1785376762140412	-2	1	1
1785376762141413	-3	1	1
1785376762142412	-2	0	1
1785376762143411	-3	1	1
1785376762144413	-3	1	1
1785376762145412	-3	0	1
1785376762146414	-3	1	1
1785376762147413	-3	2	1
1785376762148412	-2	0	1
1785376762149413	-3	1	1
1785376762150412	-4	1	1
1785376762151412	-3	1	1
1785376762152412	-2	0	1
1785376762153413	-3	1	1
1785376762154412	-5	1	1
1785376762155412	-3	0	1
1785376762156412	-3	1	1
1785376762157412	-4	1	1
1785376762158412	-3	1	1
1785376762159412	-4	1	1
1785376762160413	-3	0	1
1785376762161412	-5	2	1
1785376762162411	-5	0	1
1785376762163413	-4	1	1
1785376762164413	-4	1	1
1785376762165413	-4	1	1
1785376762166413	-4	1	1
1785376762167412	-4	1	1
1785376762168412	-5	1	1
1785376762169413	-5	1	1
1785376762170413	-5	1	1
1785376762171411	-4	0	1
1785376762172412	-5	1	1
1785376762173412	-6	1	1
1785376762174415	-5	1	1
1785376762175412	-6	1	1
1785376762176412	-5	1	1
1785376762177413	-6	1	1
1785376762178412	-5	1	1
1785376762179412	-6	1	1
1785376762180412	-7	1	1
1785376762181413	-5	2	1
1785376762182412	-7	2	1
1785376762183412	-6	1	1
1785376762184413	-6	1	1
1785376762185412	-7	1	1
1785376762186413	-5	1	1
1785376762187412	-6	2	1
1785376762188412	-6	1	1
1785376762189412	-6	1	1
1785376762190413	-7	1	1
1785376762191412	-6	2	1
1785376762192413	-6	1	1
1785376762193412	-7	2	1
1785376762194412	-6	1	1
1785376762195413	-7	1	1
1785376762196412	-6	2	1
1785376762197414	-6	1	1
1785376762198413	-6	1	1
1785376762199412	-6	2	1
1785376762200412	-7	1	1
1785376762201412	-6	2	1
1785376762202414	-6	1	1
1785376762203412	-6	3	1
1785376762204412	-6	1	1
1785376762205414	-8	2	1
1785376762206414	-6	2	1
1785376762207414	-6	1	1
1785376762208413	-6	2	1
1785376762209412	-7	2	1
1785376762210414	-6	1	1
1785376762211413	-6	2	1
1785376762212413	-6	2	1
1785376762213414	-5	1	1
1785376762214412	-6	2	1
1785376762215413	-8	2	1
1785376762216414	-6	2	1
1785376762217412	-5	2	1
1785376762218414	-5	2	1
1785376762219413	-6	2	1
1785376762220412	-6	2	1
1785376762221414	-5	2	1
1785376762222412	-5	2	1
1785376762223412	-4	2	1
1785376762224415	-5	2	1
1785376762225414	-7	2	1
1785376762226413	-4	2	1
1785376762227413	-5	2	1
1785376762228413	-5	2	1
1785376762229413	-4	2	1
1785376762230413	-4	2	1
1785376762231412	-5	2	1
1785376762232420	-5	2	1
1785376762233413	-4	2	1
1785376762234413	-4	2	1
1785376762235415	-3	3	1
1785376762236413	-4	2	1
1785376762237412	-5	2	1
1785376762238413	-3	2	1
1785376762239413	-3	2	1
1785376762240414	-4	1	1
1785376762241416	-3	2	1
1785376762242414	-4	2	1
1785376762243412	-3	2	1
1785376762244414	-3	2	1
1785376762245412	-2	2	1
1785376762246414	-3	2	1
1785376762247413	-4	2	1
1785376762248413	-3	2	1
1785376762249414	-2	2	1
1785376762250414	-4	3	1
1785376762251412	-2	2	1
1785376762252414	-3	1	1
1785376762253413	-2	2	1
1785376762254412	-2	2	1
1785376762255413	-2	2	1
1785376762256414	-3	1	1
1785376762257415	-2	2	1
1785376762258413	-2	2	1
1785376762259413	-2	2	0
1785376762260414	-2	2	0
1785376762261413	-2	2	0
1785376762262413	-2	2	0
1785376762263414	-1	1	0
1785376762264415	-3	2	0
1785376762265413	-2	2	0
1785376762266413	-1	1	0
1785376762267413	-1	3	0
1785376762268414	-2	2	0
1785376762269413	-1	1	0
1785376762270412	-1	2	0
1785376762271415	-2	1	0
1785376762272414	-1	2	0
1785376762273413	-1	1	0
1785376762274414	0	1	0
1785376762275413	-1	2	0
1785376762276414	-1	1	0
1785376762277414	0	1	0
1785376762278413	-1	1	0
1785376762279413	0	1	0
1785376762280414	-1	1	0
1785376762281412	0	1	0
1785376762282414	0	1	0
1785376762283413	-1	1	0
1785376762284412	0	1	0
1785376762286413	0	1	0
1785376762288414	0	1	0
1785376762291415	1	0	0
1785376762292413	0	1	0
1785376762293414	1	0	0
1785376762295414	1	0	0
1785376762296414	1	0	0
1785376762297413	1	0	0
1785376762299413	1	0	0
1785376762300413	2	0	0
1785376762301412	1	0	0
1785376762302414	1	0	0
1785376762303412	1	0	0
1785376762304414	1	0	0
1785376762305412	1	0	0
1785376762306413	1	0	0
1785376762307414	2	0	0
1785376762308413	1	0	0
1785376762309413	2	0	0
1785376762310412	2	0	0
1785376762311415	2	-1	0
1785376762312414	1	0	0
1785376762313415	1	0	0
1785376762314414	2	-1	0
1785376762315412	2	0	0
1785376762316413	1	0	0
1785376762317413	2	-1	0
1785376762318414	2	0	0
1785376762319414	1	0	0
1785376762320414	2	-1	0
1785376762321412	3	0	0
1785376762322412	1	0	0
1785376762323413	2	-1	0
1785376762324417	2	0	0
1785376762325414	2	-1	0
1785376762326414	1	0	0
1785376762327414	3	0	0
1785376762328413	2	-1	0
1785376762329414	2	0	0
1785376762330414	1	-1	0
1785376762331412	2	0	0
1785376762332414	2	-1	0
1785376762333414	2	0	0
1785376762334414	2	-1	0
1785376762335420	1	0	0
1785376762336414	2	0	0
1785376762337413	2	-1	0
1785376762338414	1	0	0
1785376762339414	2	0	0
1785376762340415	2	-1	0
1785376762341416	1	0	0
1785376762342414	2	-1	0
1785376762343416	3	0	0
1785376762344415	2	-1	0
1785376762345413	1	0	0
1785376762346416	2	0	0
1785376762347415	1	-1	0
1785376762348413	2	0	0
1785376762349413	1	-1	0
1785376762350413	2	0	0
1785376762351414	2	-1	0
1785376762352415	1	0	0
1785376762353414	2	-1	0
1785376762354414	1	0	0
1785376762355415	2	-1	0
1785376762356413	1	0	0
1785376762357415	2	-1	0
1785376762358414	1	0	0
1785376762359412	1	0	0
1785376762360415	2	-1	0
1785376762361414	1	0	0
1785376762362414	1	-1	0
1785376762363417	3	0	0
1785376762364414	1	-1	0
1785376762365413	1	0	0
1785376762366415	2	0	0
1785376762367415	1	-1	0
1785376762368414	1	0	0
1785376762369414	1	-2	0
1785376762370414	1	0	0
1785376762371415	1	0	0
1785376762372415	1	0	0
1785376762373414	1	-1	0
1785376762374415	1	0	0
1785376762375414	1	0	0
1785376762376413	1	-1	0
1785376762377415	1	0	0
1785376762378415	0	-1	0
1785376762379414	1	0	0
1785376762380414	1	0	0
1785376762381413	1	0	0
1785376762382415	0	-1	0
1785376762383415	1	0	0
1785376762384413	1	0	0
1785376762385417	1	-1	0
1785376762387414	1	0	0
1785376762388415	1	-1	0
1785376762390415	1	0	0
1785376762392415	1	-1	0
1785376762394415	1	0	0
1785376762396415	1	-1	0
1785376762398414	1	0	0
1785376762400415	2	0	0
1785376762402417	0	-1	0
1785376762403414	1	0	0
1785376762406415	1	0	0
1785376762408415	1	-1	0
1785376762411415	1	0	0
1785376762414415	1	-1	0
1785376762417415	1	0	0
1785376762419414	1	0	0
1785376762420415	0	-1	0
1785376762422415	1	0	0
1785376762424415	1	-1	0
1785376762426415	1	0	0
1785376762429416	1	-1	0
1785376762430415	1	0	0
1785376762432415	1	-1	0
1785376762434415	1	-1	0
1785376762435415	1	0	0
1785376762437415	1	-1	0
1785376762438415	1	0	0
1785376762439414	0	-1	0
1785376762440416	1	-1	0
1785376762441416	1	0	0
1785376762442414	1	-1	0
1785376762443414	1	-1	0
1785376762444415	1	0	0
1785376762445414	0	-1	0
1785376762446416	1	0	0
1785376762447415	1	-1	0
1785376762448414	1	-1	0
1785376762449416	1	-1	0
1785376762450415	1	0	0
1785376762451414	1	-1	0
1785376762452416	2	-1	0
1785376762453415	1	-1	0
1785376762454414	1	-2	0
1785376762455416	1	-1	0
1785376762456415	1	0	0
1785376762457416	1	-1	0
1785376762458416	2	-1	0
1785376762459415	1	-1	0
1785376762460416	1	-1	0
1785376762461417	1	-1	0
1785376762462415	1	-1	0
1785376762463416	2	-1	0
1785376762464416	1	-1	0
1785376762465415	1	-1	0
1785376762466416	1	-1	0
1785376762467416	1	-1	0
1785376762468415	1	-1	0
1785376762469414	2	-1	0
1785376762470415	1	-1	0
1785376762471416	1	-1	0
1785376762472416	2	-1	0
1785376762473415	1	-1	0
1785376762474415	1	-1	0
1785376762475415	2	-1	0
1785376762476416	2	-1	0
1785376762477416	1	-1	0
1785376762478415	2	0	0
1785376762479415	1	-1	0
1785376762480416	1	-1	0
1785376762481416	1	-1	0
1785376762482414	2	-1	0
1785376762483415	1	-1	0
1785376762484414	2	-1	0
1785376762485416	1	-1	0
1785376762486415	1	-2	0
1785376762487415	2	-1	0
1785376762488415	1	-1	0
1785376762489416	2	0	0
1785376762490416	1	-1	0
1785376762491415	2	-1	0
1785376762492417	1	-1	0
1785376762493416	2	-1	0
1785376762494416	2	-1	0
1785376762495415	1	0	0
1785376762496415	2	-1	0
1785376762497416	2	-1	0
1785376762498416	2	-1	0
1785376762499416	2	-1	0
1785376762500416	1	-1	0
1785376762501416	2	0	0
1785376762502416	2	-1	0
1785376762503416	2	-1	0
1785376762504415	2	-1	0
1785376762505416	2	-1	0
1785376762506416	2	0	0
1785376762507417	1	-1	0
1785376762508416	2	0	0
1785376762509415	2	-1	0
1785376762510416	2	-1	0
1785376762511417	2	0	0
1785376762512416	2	-1	0
1785376762513416	3	-1	0
1785376762514415	2	0	0
1785376762515416	3	-1	0
1785376762516416	2	-1	0
1785376762517416	2	-1	0
1785376762518416	3	0	0
1785376762519416	2	-1	0
