# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785379913086848	1	0	0
1785379913093847	1	0	0
1785379913096845	0	-1	0
1785379913100846	1	0	0
1785379913105844	1	0	0
1785379913109846	1	0	0
1785379913115845	1	0	0
1785379913119844	1	0	0
1785379913123850	1	0	0
1785379913126845	1	0	0
1785379913130845	1	0	0
1785379913134845	1	0	0
1785379913137846	1	0	0
1785379913141846	1	0	0
1785379913144846	1	-1	0
1785379913148847	1	0	0
1785379913151846	1	0	0
1785379913155846	1	0	0
1785379913158846	1	0	0
1785379913162848	2	0	0
1785379913166848	1	0	0
1785379913169847	1	0	0
1785379913174847	1	0	0
1785379913178848	1	0	0
1785379913183847	1	0	0
1785379913188848	1	0	0
1785379913194848	1	0	0
1785379913202849	1	0	0
1785379913212849	1	0	0
1785379913226849	1	0	0
1785379913238851	1	0	0
1785379913247852	1	0	0
1785379913256852	1	0	0
1785379913263852	1	0	0
1785379913269852	1	0	0
1785379913275852	1	0	0
1785379913280853	1	0	0
1785379913285853	1	0	0
1785379913291853	1	0	0
1785379913296854	1	0	0
1785379913301854	1	0	0
1785379913307854	1	0	0
1785379913313855	1	0	0
1785379913319854	1	0	0
1785379913325855	1	0	0
1785379913332855	1	0	0
1785379913337856	1	0	0
1785379913342856	1	0	0
1785379913347856	2	0	0
1785379913351856	1	0	0
1785379913355856	1	0	0
1785379913359858	1	0	0
1785379913363857	1	0	0
1785379913367857	1	0	0
1785379913371857	1	0	0
1785379913376857	1	0	0
1785379913380857	1	0	0
1785379913386858	1	0	0
1785379913414862	1	0	0
1785379913596873	1	0	0
1785379913606871	1	0	0
1785379913615870	1	0	0
1785379913627872	1	0	0
1785379913638872	1	0	0
1785379913650880	1	0	0
1785379913659873	1	0	0
1785379913661872	0	-1	0
1785379913666874	1	0	0
1785379913674872	1	0	0
1785379913682873	1	0	0
1785379913689873	1	0	0
1785379913695874	0	-1	0
1785379913696873	1	0	0
1785379913703874	1	0	0
1785379913710875	1	0	0
1785379913712874	0	-1	0
1785379913718876	1	0	0
1785379913726876	1	-1	0
1785379913738876	1	0	0
1785379913745876	0	-1	0
1785379913755876	1	0	0
1785379915750981	2	0	0
1785379915757978	0	-1	0
1785379915767978	1	0	0
1785379915779977	1	0	0
1785379915791978	1	0	0
1785379915794978	0	-1	0
1785379915804977	1	0	0
1785379915867983	1	0	0
1785379915887983	1	0	0
1785379915903986	1	0	0
1785379915924986	0	-1	0
1785379915968991	1	0	0
1785379915997991	1	0	0
1785379916015992	1	0	0
1785379916036991	1	0	0
1785379916073991	1	0	0
1785379916146998	1	0	0
1785379916322007	0	-1	0
1785379916616024	0	0	1
1785379916739025	-1	0	1
1785379916747026	-1	0	1
1785379916753026	0	1	1
1785379916754027	-1	0	1
1785379916761029	-1	0	1
1785379916767027	-1	0	1
1785379916774028	-1	0	1
1785379916781027	-1	0	1
1785379916787026	0	1	1
1785379916789028	-1	0	1
1785379916799029	-1	0	1
1785379916818030	-1	0	1
1785379916854033	-1	0	1
1785379916866033	-1	0	1
1785379916877033	-2	0	1
1785379916885032	-1	0	1
1785379916891032	0	1	1
1785379916893032	-1	0	1
1785379916902033	-1	0	1
1785379916913034	-1	0	1
1785379916927034	-1	0	1
1785379916949038	-1	0	1
1785379916969040	-1	0	1
1785379916981038	-1	0	1
1785379916990038	-1	0	1
1785379917000038	-1	0	1
1785379917010041	-1	0	1
1785379917019042	-1	0	1
1785379917027041	-1	0	1
1785379917033039	-1	0	1
1785379917040041	-1	0	1
1785379917047044	-1	1	1
1785379917055042	-1	0	1
1785379917062041	-1	0	1
1785379917071042	-1	0	1
1785379917079042	-1	0	1
1785379917087043	-1	0	1
1785379917095043	-1	0	1
1785379917104044	-1	0	1
1785379917111044	-1	0	1
1785379917117043	-1	0	1
1785379917125045	-1	0	1
1785379917132045	-1	0	1
1785379917139044	-1	0	1
1785379917146045	-2	0	1
1785379917152046	-1	0	1
1785379917159045	-1	0	1
1785379917166048	-1	0	1
1785379917168046	0	1	1
1785379917173046	-1	0	1
1785379917180048	-1	0	1
1785379917186047	-1	0	1
1785379917194047	-1	0	1
1785379917203048	-1	0	1
1785379917213049	-1	0	1
1785379917223049	-1	0	1
1785379917232049	-1	0	1
1785379917240051	-1	0	1
1785379917248051	-1	0	1
1785379917254052	-1	0	1
1785379917260053	-1	0	1
1785379917266052	-1	0	1
1785379917271051	-1	0	1
1785379917277051	-1	0	1
1785379917281051	-1	0	1
1785379917286052	-1	0	1
1785379917290052	-1	0	1
1785379917295053	-1	0	1
1785379917299052	-1	0	1
1785379917304052	-1	0	1
1785379917308054	-1	0	1
1785379917313053	-1	0	1
1785379917318054	-1	0	1
1785379917323053	-1	0	1
1785379917328053	-2	0	1
1785379917332055	-1	0	1
1785379917337054	-1	0	1
1785379917341055	-1	0	1
1785379917345054	-1	0	1
1785379917349055	-1	0	1
1785379917353055	-1	0	1
1785379917357056	-1	0	1
1785379917360055	-1	0	1
1785379917364056	-1	0	1
1785379917368056	-1	0	1
1785379917371056	-1	0	1
1785379917374057	-1	0	1
1785379917377057	-1	0	1
1785379917380057	-1	0	1
1785379917383056	-1	0	1
1785379917386057	-1	0	1
1785379917389057	-1	0	1
1785379917392057	-1	0	1
1785379917395057	-1	0	1
1785379917398056	-1	0	1
1785379917400057	-1	0	1
1785379917403057	-1	0	1
1785379917406058	-1	0	1
1785379917408059	-1	0	1
1785379917410058	-1	0	1
1785379917413058	-1	0	1
1785379917415058	-1	0	1
1785379917417060	-1	0	1
1785379917420058	-1	0	1
1785379917423058	-2	0	1
1785379917425058	-1	0	1
1785379917427060	-1	0	1
1785379917429059	-1	0	1
1785379917431058	-1	0	1
1785379917433059	-1	0	1
1785379917435059	-1	0	1
1785379917437059	-1	0	1
1785379917439060	-1	0	1
1785379917441059	-1	0	1
1785379917443060	-1	0	1
1785379917445059	-1	0	1
1785379917446059	-1	0	1
1785379917448066	-1	0	1
1785379917450060	-1	0	1
1785379917452060	-1	0	1
1785379917454060	-1	0	1
1785379917455060	-1	0	1
1785379917457061	-1	0	1
1785379917459060	-1	0	1
1785379917461060	-1	0	1
1785379917462060	-1	0	1
1785379917464060	-1	0	1
1785379917465060	-1	0	1
1785379917467060	-1	0	1
1785379917468060	-1	0	1
1785379917470060	-1	0	1
1785379917471060	-1	0	1
1785379917472060	-1	0	1
1785379917474061	-2	0	1
1785379917475060	-1	0	1
1785379917476061	-1	0	1
1785379917478061	-1	0	1
1785379917479061	-1	0	1
1785379917480061	-1	0	1
1785379917481060	-1	0	1
1785379917483062	-1	0	1
1785379917484061	-1	0	1
1785379917485061	-1	0	1
1785379917486063	-1	-1	1
1785379917487060	-1	0	1
1785379917488061	-1	0	1
1785379917489061	-1	0	1
1785379917490061	-1	0	1
1785379917491061	-1	0	1
1785379917492061	-1	0	1
1785379917493061	-1	0	1
1785379917494061	-1	0	1
1785379917495061	-1	0	1
1785379917496061	-1	0	1
1785379917497062	-1	0	1
1785379917498061	-1	0	1
1785379917499063	-1	0	1
1785379917500062	-1	0	1
1785379917501062	-1	0	1
1785379917502062	-1	0	1
1785379917503062	-1	-1	1
1785379917504062	-1	0	1
1785379917505062	-3	0	1
1785379917506063	-1	0	1
1785379917507062	-1	0	1
1785379917508062	-1	0	1
1785379917509062	-1	0	1
1785379917510064	-1	0	1
1785379917511062	-1	0	1
1785379917512062	-1	0	1
1785379917513062	-2	0	1
1785379917514062	-1	0	1
1785379917515062	-1	0	1
1785379917516063	-1	0	1
1785379917517062	-2	0	1
1785379917518063	-1	0	1
1785379917519064	-1	0	1
1785379917520062	-1	0	1
1785379917521063	-1	-1	1
1785379917522063	-1	0	1
1785379917523063	-2	0	1
1785379917524063	-1	0	1
1785379917525063	-1	0	1
1785379917526063	-1	0	1
1785379917527063	-1	0	1
1785379917528063	-2	0	1
1785379917529063	-1	0	1
1785379917530064	-2	0	1
1785379917531064	-1	0	1
1785379917532063	-1	0	1
1785379917533063	-2	0	1
1785379917534064	-1	0	1
1785379917535063	-1	0	1
1785379917536063	-1	0	1
1785379917537063	-1	0	1
1785379917538064	-2	0	1
1785379917539064	-1	0	1
1785379917540064	-1	0	1
1785379917541064	-1	0	1
1785379917542064	-2	0	1
1785379917543064	-1	0	1
1785379917544065	-1	0	1
1785379917545064	-1	0	1
1785379917546064	-1	0	1
1785379917547064	-1	0	1
1785379917548064	-2	0	1
1785379917549065	-1	0	1
1785379917550064	-1	0	1
1785379917551069	-1	0	1
1785379917552064	-1	0	1
1785379917553064	-2	0	1
1785379917554064	-2	0	1
1785379917555066	-1	0	1
1785379917556064	-1	0	1
1785379917557065	-2	0	1
1785379917558065	-1	0	1
1785379917559064	-1	0	1
1785379917560065	-1	0	1
1785379917561065	-1	0	1
1785379917562064	-2	0	1
