# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376737681163	1	0	0
1785376739166185	0	-1	0
1785376739176183	0	-1	0
1785376739184183	0	-1	0
1785376739199181	0	-1	0
1785376739547188	-1	-1	0
1785376739553185	-1	0	0
1785376739559184	-1	0	0
1785376739560183	0	-1	0
1785376739566183	0	-1	0
1785376739903191	-1	0	0
1785376739927188	-1	0	0
1785376739933187	-1	0	0
1785376739935186	0	1	0
1785376739939186	-1	0	0
1785376739947186	0	1	0
1785376740037193	0	-1	0
1785376740042190	-1	0	0
1785376740046189	0	-1	0
1785376740051189	-2	0	0
1785376740054189	0	-1	0
1785376740058188	-1	0	0
1785376740062187	0	-1	0
1785376740064188	-1	0	0
1785376740070189	-1	-1	0
1785376740075187	-1	0	0
1785376740078188	0	-2	0
1785376740080187	-1	0	0
1785376740084188	-1	0	0
1785376740086187	0	-1	0
1785376740088187	-1	0	0
1785376740091188	-1	0	0
1785376740095190	-1	-1	0
1785376740098188	-1	0	0
1785376740100187	-1	0	0
1785376740103188	-1	-1	0
1785376740106188	-1	0	0
1785376740108187	-1	0	0
1785376740111188	-1	0	0
1785376740112188	0	-1	0
1785376740113187	-1	0	0
1785376740115188	-1	0	0
1785376740117188	-1	0	0
1785376740119189	-1	-1	0
1785376740121187	-1	0	0
1785376740123188	-1	0	0
1785376740125188	-1	0	0
1785376740127188	-1	-1	0
1785376740128189	-1	0	0
1785376740130188	-1	0	0
1785376740132188	-1	0	0
1785376740134188	-1	0	0
1785376740135188	0	-1	0
1785376740136187	-1	0	0
1785376740137187	-2	0	0
1785376740139188	-1	0	0
1785376740141188	-1	0	0
1785376740142189	-1	-1	0
1785376740144188	-1	0	0
1785376740146188	-1	0	0
1785376740147188	-1	0	0
1785376740149188	-1	0	0
1785376740150189	-1	-1	0
1785376740152188	-1	0	0
1785376740153188	-1	0	0
1785376740155188	-1	0	0
1785376740156189	0	-1	0
1785376740157188	-1	0	0
1785376740158188	-1	0	0
1785376740160188	-1	0	0
1785376740161188	-1	0	0
1785376740163189	-1	-1	0
1785376740164189	-1	0	0
1785376740166187	-1	0	0
1785376740168190	-1	0	0
1785376740169188	-1	0	0
1785376740170187	0	-1	0
1785376740171187	-1	0	0
1785376740173190	-1	0	0
1785376740175189	-1	0	0
1785376740176188	-1	0	0
1785376740178189	-1	-1	0
1785376740180189	-1	0	0
1785376740182189	-1	0	0
1785376740183190	-1	0	0
1785376740185188	-1	0	0
1785376740187189	-2	0	0
1785376740189191	-1	0	0
1785376740191189	-1	0	0
1785376740193189	-1	0	0
1785376740194187	0	-1	0
1785376740195189	-1	0	0
1785376740198189	-1	0	0
1785376740201190	-1	0	0
1785376740204189	-1	0	0
1785376740207189	-1	0	0
1785376740211189	-1	0	0
1785376740217189	-1	0	0
1785376740354195	0	-1	0
1785376740382193	1	-1	0
1785376740390191	1	0	0
1785376740397191	1	0	0
1785376740402192	0	-1	0
1785376740404190	1	0	0
1785376740410191	1	0	0
